run 40000
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 9 9 9
Memory usage per processor = 3.8843 Mbytes
Step Time Lx Ly Lz Press Density Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
     190          190    66.023046    66.023046    66.023046    8.3892113     2.666307    18.955432   -6.3207273    12.532929   -11092.723    108.38753   -11092.723    1719.7689   -9372.9545 
     195          195    66.088757    66.088757    66.088757   0.81342558    2.6583618    12.012443   -14.623387    5.0512207     -11049.6    106.19473     -11049.6    1684.9761   -9364.6236 
     200          200    66.152452    66.152452    66.152452   -9.6269817    2.6506903    2.1996402   -25.779764   -5.3008212   -11011.089    104.29612   -11011.089    1654.8511   -9356.2378 
     205          205    66.185564    66.185564    66.185564    2.1423103     2.646714    14.740778   -14.862425    6.5485777   -10978.769    102.76803   -10978.769    1630.6052   -9348.1643 
     210          210    66.210599    66.210599    66.210599    16.545913    2.6437128    29.962721   -1.3070596    20.982077   -10950.919    101.52587   -10950.919     1610.896   -9340.0229 
     215          215    66.284118    66.284118    66.284118   -15.404904    2.6349257   -1.4773248   -33.724805   -11.012581   -10924.048    100.37741   -10924.048    1592.6735   -9331.3744 
     220          220     66.32596     66.32596     66.32596   -23.562575    2.6299421   -8.9386303   -42.520768   -19.228328   -10902.527    99.546316   -10902.527    1579.4867   -9323.0402 
     225          225    66.286071    66.286071    66.286071    35.157125    2.6346928    50.928002    15.127827    39.415547   -10889.012    99.172286   -10889.012     1573.552     -9315.46 
     230          230    66.327532    66.327532    66.327532    20.050698    2.6297552    36.512818  -0.50880759    24.148085   -10873.775    98.749967   -10873.775    1566.8511   -9306.9235 
     235          235    66.444536    66.444536    66.444536   -61.777123    2.6158871   -45.094953   -82.291352   -57.945066   -10856.222    98.272466   -10856.222    1559.2747   -9296.9469 
     240          240    66.390202    66.390202    66.390202    -1.292484     2.622315    16.652451   -22.830222    2.3003193   -10852.123    98.458059   -10852.123    1562.2194   -9289.9035 
     245          245    66.290614    66.290614    66.290614    97.972388    2.6341512    117.50936    75.116633    101.29117   -10851.468      98.9274   -10851.468    1569.6664   -9281.8016 
     250          250    66.463054    66.463054    66.463054   -40.797991    2.6137012    -21.47471   -62.978395   -37.940868   -10838.176    98.710215   -10838.176    1566.2204   -9271.9552 
     255          255    66.533326    66.533326    66.533326   -91.065924    2.6054283   -71.298962   -113.24249   -88.656321   -10831.006    98.899878   -10831.006    1569.2297   -9261.7758 
     260          260    66.349999    66.349999    66.349999    70.231444    2.6270846     92.27126    46.240132     72.18294   -10841.824    99.945379   -10841.824    1585.8185   -9256.0058 
     265          265    66.401292    66.401292    66.401292     30.43395    2.6210013    53.055846    6.4085204    31.837483   -10839.517    100.36973   -10839.517    1592.5516   -9246.9649 
     270          270     66.47566     66.47566     66.47566    -29.34915    2.6122146   -6.3486084    -53.16734   -28.531502   -10836.357    100.78735   -10836.357     1599.178   -9237.1789 
     275          275    66.446845    66.446845    66.446845   -2.7232364    2.6156145    21.440466   -27.111081   -2.4990942   -10840.311    101.57139   -10840.311    1611.6182   -9228.6932 
     280          280    66.416115    66.416115    66.416115    25.025837    2.6192468    50.388239  0.084271422    24.605002   -10844.708     102.4045   -10844.708    1624.8371   -9219.8712 
