run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 53 53 53
Memory usage per processor = 3.73421 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0     364.7467     364.7467     364.7467 0.0060829551     48525958    1.0133699    1.0454433    0.9841013    1.0105652   -10.682281    179.18999   -10.682281    1093.3668    1082.6845 
      20          200    366.91406    366.91406    366.91406 0.0059757947     49396146   0.99887609    1.0296172   0.97000497   0.99700614   -10.412521    179.46788   -10.412521    1095.0624    1084.6499 
      40          400    368.62134    368.62134    368.62134 0.0058931475     50088891   0.98612713    1.0126802   0.95922792   0.98647327     -10.3567    179.27739     -10.3567    1093.9001    1083.5434 
      60          600    369.73718    369.73718    369.73718 0.0058399531     50545136   0.98163191    1.0070172   0.95731571   0.98056285   -10.344524    179.51369   -10.344524    1095.3419    1084.9974 
      80          800     370.3728     370.3728     370.3728 0.0058099377     50806264   0.98028409    1.0075856    0.9541359   0.97913076   -10.903367    180.42852   -10.903367     1100.924    1090.0206 
     100         1000    370.65324    370.65324    370.65324 0.0057967602     50921759    0.9873685    1.0205299   0.95617508   0.98540053   -11.049051    181.64597   -11.049051    1108.3525    1097.3035 
     120         1200    370.74018    370.74018    370.74018 0.0057926829     50957601    1.0002386    1.0384807   0.96791564   0.99431943   -10.410967    182.68893   -10.410967    1114.7163    1104.3054 
     140         1400    370.80658    370.80658    370.80658 0.0057895715     50984987   0.99504131     1.024694   0.96918377    0.9912462    -11.45061    183.54824    -11.45061    1119.9596     1108.509 
     160         1600    370.81233    370.81233    370.81233 0.0057893023     50987357   0.99298938     1.025185    0.9677273    0.9860558   -11.645711    183.59124   -11.645711     1120.222    1108.5763 
     180         1800    370.73866    370.73866    370.73866 0.0057927543     50956973   0.99099937    1.0318002   0.95485228    0.9863456    -11.34068    182.60839    -11.34068    1114.2249    1102.8842 
     200         2000    370.53631    370.53631    370.53631 0.0058022496     50873583   0.98090109    1.0136209   0.94014423   0.98893819   -11.099373    180.35979   -11.099373    1100.5046    1089.4053 
     220         2200    369.99864    369.99864    369.99864 0.0058275813     50652442   0.96465098    1.0007272   0.93057358    0.9626522   -11.710883    177.57977   -11.710883    1083.5417    1071.8308 
     240         2400    368.87702    368.87702    368.87702 0.0058809016     50193192   0.96563343     1.003594   0.92782137   0.96548497   -11.663733     176.0539   -11.663733    1074.2313    1062.5675 
     260         2600    367.16154    367.16154    367.16154 0.0059637192     49496164   0.98399836    1.0203856   0.94376653   0.98784291   -11.757828    176.79163   -11.757828    1078.7327    1066.9749 
     280         2800    365.25874    365.25874    365.25874 0.0060574089     48730609    1.0161478    1.0494677   0.97862515    1.0203504   -11.324824    178.96862   -11.324824    1092.0161    1080.6912 
     300         3000    363.79083    363.79083    363.79083 0.0061310306     48145450    1.0418482    1.0818494    1.0066301    1.0370652   -11.529543    181.61781   -11.529543    1108.1807    1096.6511 
     320         3200    363.11183    363.11183    363.11183 0.0061654894     47876366    1.0608588    1.0999927    1.0243381    1.0582457   -11.377464    183.72512   -11.377464    1121.0389    1109.6615 
     340         3400    363.31317    363.31317    363.31317 0.0061552447     47956050    1.0690068    1.1055591    1.0345314      1.06693   -11.112895    185.05398   -11.112895    1129.1472    1118.0343 
     360         3600    364.34308    364.34308    364.34308 0.0061031936     48365043    1.0639324    1.1005172    1.0352872    1.0559928    -10.97062    185.71472    -10.97062    1133.1789    1122.2083 
     380         3800    365.93382    365.93382    365.93382 0.0060239464     49001304    1.0486285    1.0882709    1.0173937    1.0402211    -10.93704    185.46464    -10.93704     1131.653    1120.7159 
     400         4000     367.6122     367.6122     367.6122 0.0059418132     49678644    1.0333308    1.0676168    1.0117887    1.0205868    -9.785623    183.94614    -9.785623    1122.3875    1112.6019 
     420         4200    368.96066    368.96066    368.96066 0.0058769032     50227342    1.0051529    1.0508464   0.97143794   0.99317433    -9.997624     182.0107    -9.997624     1110.578    1100.5804 
     440         4400     369.8004     369.8004     369.8004 0.0058369586     50571067   0.98122867    1.0261502   0.94931172   0.96822411    -10.29337    180.02843    -10.29337    1098.4827    1088.1893 
     460         4600    370.14995    370.14995    370.14995 0.0058204377     50714609    0.9730011    1.0061242   0.94207282   0.97080631   -10.002327    178.45483   -10.002327    1088.8811    1078.8787 
     480         4800     370.0939     370.0939     370.0939 0.0058230826     50691574   0.98031492   0.99786266   0.95620673   0.98687537   -8.7712727    177.69609   -8.7712727    1084.2514    1075.4802 
     500         5000    369.73447    369.73447    369.73447 0.0058400817     50544023   0.97460666    1.0017056   0.95043997   0.97167439     -10.2378    178.62797     -10.2378    1089.9376    1079.6998 
     520         5200    369.03572    369.03572    369.03572 0.0058733178     50258003   0.98581082    1.0211724   0.95970025   0.97655985   -11.219707    180.82658   -11.219707    1103.3529    1092.1331 
     540         5400    368.17245    368.17245    368.17245  0.005914729     49906128    1.0234238    1.0627411    1.0052458    1.0022844   -10.403566     183.5466   -10.403566    1119.9496     1109.546 
     560         5600    367.61954    367.61954    367.61954 0.0059414571     49681622     1.044845    1.0723104    1.0287393    1.0334854    -11.31022    185.99161    -11.31022    1134.8684    1123.5582 
     580         5800    367.72391    367.72391    367.72391 0.0059363995     49723948    1.0509404    1.0761633    1.0245655    1.0520925   -11.119044    186.35011   -11.119044    1137.0558    1125.9368 
     600         6000     368.5791     368.5791     368.5791 0.0058951738     50071675     1.026498    1.0582498    1.0039254    1.0173186   -11.211434    184.11902   -11.211434    1123.4424    1112.2309 
