run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 56 56 56
Memory usage per processor = 3.77665 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    388.09286    388.09286    388.09286 0.0050498881     58453023    1.0080548    1.0227401   0.96411653    1.0373078   -8.2423327    211.36016   -8.2423327    1289.6601    1281.4178 
      20          200    389.89424    389.89424    389.89424 0.0049802171     59270755   0.96820028    0.9782892   0.92619424    1.0001174   -8.3995505    206.30866   -8.3995505    1258.8373    1250.4377 
      40          400    391.13227    391.13227    391.13227 0.0049330757     59837157   0.94745668   0.95395474    0.9073931   0.98102219   -8.3206022     203.9207   -8.3206022    1244.2666     1235.946 
      60          600    391.51754    391.51754    391.51754 0.0049185272     60014149   0.95313103   0.95609325   0.91542081   0.98787902   -7.5236523    204.72216   -7.5236523    1249.1569    1241.6333 
      80          800    391.17305    391.17305    391.17305  0.004931533     59855875   0.96861587   0.97961192   0.92219372     1.004042    -7.587449    208.14451    -7.587449    1270.0391    1262.4517 
     100         1000    390.34598    390.34598    390.34598 0.0049629464     59477012   0.98576451   0.99434034   0.93935601    1.0235972   -7.6525465    211.69977   -7.6525465    1291.7324    1284.0798 
     120         1200    389.29199    389.29199    389.29199 0.0050033666     58996522    1.0018261    1.0087348   0.95883674    1.0379067   -7.4149728    213.92585   -7.4149728    1305.3152    1297.9003 
     140         1400    388.27152    388.27152    388.27152 0.0050429206     58533784    1.0166436    1.0236892    0.9755266    1.0507152   -7.0642386    215.05877   -7.0642386     1312.228    1305.1637 
     160         1600    387.50588    387.50588    387.50588 0.0050728712     58188196    1.0239347    1.0331089   0.98267173    1.0560236    -7.052051    215.07241    -7.052051    1312.3112    1305.2592 
     180         1800    387.08456    387.08456    387.08456 0.0050894538     57998606    1.0195448    1.0312322   0.97809153    1.0493105   -7.8282548    213.93854   -7.8282548    1305.3927    1297.5644 
     200         2000    386.95372    386.95372    386.95372 0.0050946184     57939810    1.0110287    1.0222908   0.97025637     1.040539   -8.6336861    211.90363   -8.6336861    1292.9762    1284.3425 
     220         2200    387.01523    387.01523    387.01523 0.0050921897     57967444    1.0055946    1.0180569   0.96585716    1.0328699   -9.2049909    209.71788   -9.2049909    1279.6394    1270.4344 
     240         2400    387.26168    387.26168    387.26168  0.005082474     58078256    1.0034401    1.0089896   0.96354087      1.03779   -8.5736473    207.94621   -8.5736473    1268.8292    1260.2555 
     260         2600    387.64204    387.64204    387.64204 0.0050675277     58249553   0.98559389   0.99005718   0.94466662    1.0220579   -10.150072    207.64609   -10.150072    1266.9979    1256.8478 
     280         2800    387.90001    387.90001    387.90001 0.0050574239     58365925   0.99224585    0.9928182   0.95805572    1.0258636   -9.7399551     208.7075   -9.7399551    1273.4744    1263.7344 
     300         3000    388.09202    388.09202    388.09202 0.0050499211     58452640    1.0133733    1.0158218   0.97924165    1.0450564   -9.2047015    211.92967   -9.2047015    1293.1351    1283.9304 
     320         3200    388.54283    388.54283    388.54283 0.0050323637     58656576    1.0329648    1.0531614   0.98906969    1.0566632   -8.7115562    216.10799   -8.7115562      1318.63    1309.9185 
     340         3400    389.60447    389.60447    389.60447 0.0049913373     59138705    1.0225985    1.0283287   0.98546339    1.0540034   -9.4761535    217.83744   -9.4761535    1329.1827    1319.7065 
     360         3600    391.26374    391.26374    391.26374 0.0049281047     59897515    0.9997281    1.0001465   0.96246066    1.0365772   -8.6431871    216.13224   -8.6431871     1318.778    1310.1348 
     380         3800    393.09319    393.09319    393.09319 0.0048596183     60741649   0.96899774   0.97735277   0.92537741     1.004263   -8.3313518    213.27144   -8.3313518    1301.3222    1292.9909 
     400         4000     394.4663     394.4663     394.4663  0.004809047     61380399   0.94949435   0.95799529   0.90673219   0.98375556   -7.8206303    210.92162   -7.8206303    1286.9843    1279.1637 
     420         4200    395.01678    395.01678    395.01678 0.0047889698     61637729   0.94367439   0.95236842   0.90111491   0.97753982    -7.699606    210.04863    -7.699606    1281.6576     1273.958 
     440         4400    394.67182    394.67182    394.67182 0.0048015382     61476387   0.95531769   0.95547646   0.91995635   0.99052026   -7.1251783    210.63855   -7.1251783    1285.2571    1278.1319 
     460         4600    393.59101    393.59101    393.59101 0.0048412023     60972710   0.97020786   0.97069264   0.93467837    1.0052526   -7.6121917    212.55505   -7.6121917     1296.951    1289.3388 
     480         4800    392.02022    392.02022    392.02022 0.0048996304     60245610   0.98793488   0.99208263    0.9446009    1.0271211    -8.807016    214.95922    -8.807016    1311.6206    1302.8136 
     500         5000    390.36768    390.36768    390.36768 0.0049621189     59486931    1.0110664    1.0151261   0.96089748    1.0571755   -8.9042423    216.36815   -8.9042423    1320.2175    1311.3132 
     520         5200    389.09626    389.09626    389.09626  0.005010921     58907579    1.0204221    1.0282926   0.97300958    1.0599642   -8.6646129    215.00236   -8.6646129    1311.8838    1303.2192 
     540         5400    388.35464    388.35464    388.35464 0.0050396832     58571385    1.0053228    1.0166573   0.95245411    1.0468571   -8.3112462    209.81936   -8.3112462    1280.2586    1271.9473 
     560         5600    387.91162    387.91162    387.91162 0.0050569698     58371166   0.98398714   0.98538456   0.94155198    1.0250249   -8.8162815    206.33282   -8.8162815    1258.9847    1250.1685 
     580         5800    387.49368    387.49368    387.49368 0.0050733504     58182700   0.98526866   0.98201071   0.94810029     1.025695   -7.6760824    205.87691   -7.6760824    1256.2029    1248.5268 
     600         6000    387.08886    387.08886    387.08886 0.0050892842     58000538   0.99217722   0.98969909   0.94893619    1.0378964   -6.9562609    207.31142   -6.9562609    1264.9559    1257.9996 
     620         6200     386.7462     386.7462     386.7462 0.0051028236     57846645    1.0025358    1.0050154   0.95568005    1.0469119   -6.6365784    209.85147   -6.6365784    1280.4545    1273.8179 
     640         6400    386.54979    386.54979    386.54979 0.0051106062     57758555    1.0164164    1.0230388    0.9687868    1.0574235   -6.0833563    212.49982   -6.0833563     1296.614    1290.5306 
     660         6600    386.61956    386.61956    386.61956 0.0051078398     57789836    1.0248182     1.030504    0.9762716    1.0676789   -6.0462369    214.40059   -6.0462369     1308.212    1302.1658 
