run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 57 57 57
Memory usage per processor = 3.78171 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    397.68538    397.68538    397.68538 0.0046932084     62895401    1.0284053    1.0066183    1.0549846     1.023613   -9.0116405    231.99886   -9.0116405    1415.5917      1406.58 
      20          200     398.2019     398.2019     398.2019  0.004674969     63140788    1.0217153    1.0119048    1.0449581    1.0082829   -8.8649557    231.27826   -8.8649557    1411.1947    1402.3298 
      40          400    398.98953    398.98953    398.98953 0.0046473377     63516199   0.99822215   0.98509879    1.0228146   0.98675301   -9.5349604     228.9612   -9.5349604    1397.0567    1387.5217 
      60          600    399.68682    399.68682    399.68682  0.004623057     63849792    0.9733796   0.96131404   0.99524617   0.96357858    -9.674003    224.82867    -9.674003    1371.8412    1362.1672 
      80          800    399.95289    399.95289    399.95289 0.0046138365     63977392    0.9595599    0.9558965   0.97534364   0.94743956   -8.2146826     220.1196   -8.2146826    1343.1078    1334.8931 
     100         1000     399.5569     399.5569     399.5569 0.0046275682     63787546   0.94503119    0.9336685   0.96544652   0.93597856   -9.9063766    218.50594   -9.9063766    1333.2617    1323.3553 
     120         1200    398.37554    398.37554    398.37554 0.0046688586     63223423      0.96846   0.96195886   0.99051721   0.95290394   -9.2714187    220.17558   -9.2714187    1343.4493    1334.1779 
     140         1400    396.84615    396.84615    396.84615 0.0047230466     62498055    1.0045381   0.98989288    1.0377783   0.98594308   -9.1217557    225.15099   -9.1217557    1373.8079    1364.6862 
     160         1600    395.64585    395.64585    395.64585 0.0047661628     61932678    1.0369755    1.0225397    1.0654457    1.0229411   -8.8402223    230.95292   -8.8402223    1409.2096    1400.3694 
     180         1800    395.21152    395.21152    395.21152 0.0047818938     61728937    1.0489132    1.0304162    1.0832397    1.0330837   -8.5322856     233.8583   -8.5322856    1426.9374    1418.4052 
     200         2000    395.52241    395.52241    395.52241 0.0047706268     61874726    1.0409086     1.021253    1.0731061    1.0283668   -8.2920958    233.41645   -8.2920958    1424.2414    1415.9493 
     220         2200    396.27274    396.27274    396.27274  0.004743579     62227534    1.0248692    1.0042801    1.0560449    1.0142828   -8.2074023    231.22702   -8.2074023    1410.8821    1402.6747 
     240         2400    397.14564    397.14564    397.14564 0.0047123696     62639659    1.0121246   0.99162711    1.0396405    1.0051061   -7.6633107    228.54014   -7.6633107    1394.4875    1386.8242 
     260         2600    397.94732    397.94732    397.94732 0.0046839472     63019760   0.99627739   0.97999392    1.0245775   0.98426079     -8.21422    226.46391     -8.21422    1381.8189    1373.6047 
     280         2800    398.53246    398.53246    398.53246 0.0046633457     63298164   0.98878358   0.96780674    1.0215614   0.97698257   -8.0726922    225.22048   -8.0726922    1374.2319    1366.1592 
     300         3000    398.84775    398.84775    398.84775 0.0046522954     63448513   0.98787659   0.96395407    1.0172901   0.98238561   -8.3019487    225.21944   -8.3019487    1374.2256    1365.9236 
     320         3200    398.96932    398.96932    398.96932  0.004648044     63506547   0.99688518   0.96798217    1.0304768   0.99219655   -7.6935718    226.26476   -7.6935718    1380.6038    1372.9103 
     340         3400    399.03553    399.03553    399.03553 0.0046457308     63538168    1.0053913   0.98450598    1.0433956   0.98827227   -7.7145694    228.50966   -7.7145694    1394.3016     1386.587 
     360         3600    399.17945    399.17945    399.17945 0.0046407075     63606944     1.016526   0.99478309    1.0427633    1.0120317   -7.5261641    231.58353   -7.5261641    1413.0575    1405.5313 
     380         3800    399.57972    399.57972    399.57972 0.0046267753     63798478    1.0190718   0.99478038    1.0522958    1.0101392   -8.1984034    234.85877   -8.1984034     1433.042    1424.8436 
     400         4000    400.30737    400.30737    400.30737 0.0046015907     64147649    1.0225314   0.99738321    1.0608178    1.0093931    -7.388964    236.60201    -7.388964    1443.6788    1436.2898 
     420         4200    401.39497    401.39497    401.39497 0.0045642871     64671922    1.0098937   0.98457486    1.0476081   0.99749806   -7.5944471    236.14412   -7.5944471    1440.8849    1433.2904 
     440         4400    402.65875    402.65875    402.65875 0.0045214456     65284700   0.98728052   0.96026263    1.0238045   0.97777442   -7.1634346     232.2048   -7.1634346    1416.8482    1409.6848 
     460         4600    403.69622    403.69622    403.69622 0.0044866758     65790629   0.96016183   0.93208882   0.98712709   0.96126959   -5.9316515    225.08222   -5.9316515    1373.3883    1367.4566 
