run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 57 57 57
Memory usage per processor = 3.7822 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    395.22297    395.22297    395.22297 0.0047814782     61734303   0.98857773   0.99935095    1.0236959   0.94268632   -9.5420954    220.06491   -9.5420954     1342.774    1333.2319 
      20          200    395.13692    395.13692    395.13692 0.0047846027     61693988   0.98948407    1.0003764    1.0271336   0.94094218    -9.305885    220.43117    -9.305885    1345.0089     1335.703 
      40          400    394.89474    394.89474    394.89474 0.0047934113     61580617   0.99309358    1.0060593    1.0301264   0.94309508   -9.1028892    220.97091   -9.1028892    1348.3022    1339.1993 
      60          600    394.55246    394.55246    394.55246 0.0048058972     61420628    1.0011746    1.0231831    1.0333475   0.94699318   -8.3428689    221.39725   -8.3428689    1350.9036    1342.5607 
      80          800    394.21763    394.21763    394.21763 0.0048181531     61264392    1.0055199    1.0301065    1.0398317   0.94662144   -7.7281803     221.6718   -7.7281803    1352.5788    1344.8507 
     100         1000    393.93074    393.93074    393.93074 0.0048286876     61130735    1.0028561    1.0151771    1.0402344   0.95315693    -8.137194    221.86953    -8.137194    1353.7853    1345.6482 
     120         1200    393.67641    393.67641    393.67641 0.0048380521     61012411    1.0061672    1.0157673    1.0403982   0.96233611   -7.5906346    221.67437   -7.5906346    1352.5946    1345.0039 
     140         1400    393.48395    393.48395    393.48395 0.0048451549     60922969    1.0030546    1.0171521    1.0401663   0.95184548   -8.2976422    221.44074   -8.2976422     1351.169    1342.8713 
     160         1600    393.33176    393.33176    393.33176 0.0048507811     60852307    1.0088855    1.0278019    1.0447657    0.9540888   -7.6165712    220.76579   -7.6165712    1347.0506     1339.434 
     180         1800    393.28791    393.28791    393.28791 0.0048524041     60831955    1.0021908    1.0134745    1.0435712   0.94952653   -8.6051024    220.11048   -8.6051024    1343.0521     1334.447 
     200         2000    393.29817    393.29817    393.29817  0.004852024     60836720    1.0080944    1.0084434    1.0596158   0.95622396   -7.0992228     218.7255   -7.0992228    1334.6013    1327.5021 
     220         2200     393.4043     393.4043     393.4043 0.0048480985     60885979   0.98959255   0.99375971     1.028562   0.94645596   -9.1718384    217.44068   -9.1718384    1326.7617    1317.5899 
     240         2400    393.42295    393.42295    393.42295 0.0048474089     60894641   0.98450278   0.99582833    1.0188427    0.9388373   -8.9822932    215.88592   -8.9822932    1317.2751    1308.2928 
     260         2600    393.20267    393.20267    393.20267 0.0048555602     60792414   0.98944282    1.0028862    1.0288513   0.93659088   -8.7012548    215.60669   -8.7012548    1315.5712      1306.87 
     280         2800    392.78383    392.78383    392.78383 0.0048711097     60598353   0.99487094   0.99932006    1.0396994   0.94559336   -9.6601189     217.4823   -9.6601189    1327.0157    1317.3556 
     300         3000     392.2632     392.2632     392.2632 0.0048905313     60357701    1.0145133    1.0199709    1.0579694   0.96559962   -9.3512253      220.814   -9.3512253    1347.3448    1337.9936 
     320         3200     391.9038     391.9038     391.9038 0.0049039984     60191949     1.033533    1.0428005    1.0723164   0.98548213   -9.3837523    224.29773   -9.3837523    1368.6016    1359.2178 
     340         3400    392.03629    392.03629    392.03629  0.004899028     60253019    1.0433372    1.0399762    1.0792431    1.0107924   -8.9988521    226.02813   -8.9988521      1379.16    1370.1611 
     360         3600    392.86164    392.86164    392.86164 0.0048682162     60634370    1.0356896    1.0366471    1.0881125   0.98230923   -8.7626978    225.36466   -8.7626978    1375.1116    1366.3489 
     380         3800    394.33454    394.33454    394.33454  0.004813869     61318915    1.0053041    1.0093633    1.0514386   0.95511038    -9.499748     222.6739    -9.499748    1358.6934    1349.1936 
     400         4000    395.99308    395.99308    395.99308 0.0047536362     62095880   0.97038099   0.97762606    1.0075033   0.92601361   -9.9012507    218.86739   -9.9012507    1335.4671    1325.5659 
     420         4200    397.19467    397.19467    397.19467 0.0047106244     62662865   0.95178019   0.95707266   0.98522062   0.91304728   -9.1369514    215.39944   -9.1369514    1314.3067    1305.1697 
     440         4400    397.60623    397.60623    397.60623  0.004696012     62857851   0.94097134   0.94723663   0.97586551   0.89981188   -9.5141828    214.02671   -9.5141828    1305.9307    1296.4165 
     460         4600    397.10324    397.10324    397.10324 0.0047138791     62619601   0.95279178      0.95499   0.99577244   0.90761288   -9.3804319    215.69033   -9.3804319    1316.0816    1306.7011 
     480         4800    395.85823    395.85823    395.85823 0.0047584959     62032464   0.99083483   0.98524315    1.0364193   0.95084199   -9.2830443    221.31563   -9.2830443    1350.4056    1341.1225 
     500         5000    394.50918    394.50918    394.50918 0.0048074789     61400420    1.0288507    1.0280508    1.0752357   0.98326574   -9.4099565    227.64669   -9.4099565    1389.0359     1379.626 
     520         5200    393.65354    393.65354    393.65354 0.0048388957     61001775    1.0426833     1.046609    1.0859495   0.99549137   -9.8112063     230.3976   -9.8112063    1405.8212      1396.01 
