run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 55 55 55
Memory usage per processor = 3.75706 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    383.13389    383.13389    383.13389 0.0052485221     56240828    1.0607112    1.0974464    1.0149234    1.0697637   -13.041134    216.17426   -13.041134    1319.0344    1305.9933 
      20          200    383.67009    383.67009    383.67009 0.0052265475     56477287    1.0624549    1.1017869     1.012645    1.0729329   -12.164436    216.33663   -12.164436    1320.0251    1307.8607 
      40          400    384.96275    384.96275    384.96275 0.0051740736     57050063    1.0504862    1.0895538   0.99898094     1.062924   -11.994186    216.24989   -11.994186    1319.4959    1307.5017 
      60          600      386.684      386.684      386.684 0.0051052866     57818737    1.0360132    1.0749181   0.98845621    1.0446653   -12.143289    217.02471   -12.143289    1324.2236    1312.0803 
      80          800    388.40353    388.40353    388.40353 0.0050377805     58593507    1.0329375    1.0668136   0.99774624    1.0342528   -11.057091     218.2883   -11.057091    1331.9337    1320.8766 
     100         1000     389.8726     389.8726     389.8726 0.0049810465     59260885    1.0220061    1.0559066   0.98239123    1.0277203   -11.481139    219.33784   -11.481139    1338.3377    1326.8566 
     120         1200    391.03442    391.03442    391.03442 0.0049367799     59792260    1.0149536    1.0490052   0.97367978    1.0221759   -11.268951     219.2586   -11.268951    1337.8542    1326.5853 
     140         1400    391.99733    391.99733    391.99733 0.0049004888     60235057    1.0080281    1.0423801   0.96620652    1.0154976   -10.728952    218.02177   -10.728952    1330.3074    1319.5784 
     160         1600    392.85613    392.85613    392.85613 0.0048684212     60631818   0.99319828    1.0250046    0.9526169    1.0019733   -10.168308    215.81071   -10.168308    1316.8161    1306.6478 
     180         1800    393.50271    393.50271    393.50271 0.0048444619     60931684   0.96987411    1.0143282   0.92237737   0.97291675   -10.202629    213.28911   -10.202629    1301.4301    1291.2274 
     200         2000    393.64231    393.64231    393.64231 0.0048393098     60996554   0.95671551   0.99009273   0.91916956   0.96088424   -10.152025    211.25086   -10.152025    1288.9932    1278.8412 
     220         2200    393.12187    393.12187    393.12187 0.0048585547     60754945   0.95874176   0.99041051   0.92200064   0.96381412   -9.9966965    210.47577   -9.9966965    1284.2638    1274.2671 
     240         2400    391.97667    391.97667    391.97667 0.0049012637     60225534   0.97521522    1.0085933   0.93711175   0.97994062   -9.8844264    211.39617   -9.8844264    1289.8799    1279.9954 
     260         2600    390.49127    390.49127    390.49127 0.0049574088     59543450    1.0044706     1.042192   0.96773549    1.0034843   -9.1996509    213.94021   -9.1996509    1305.4029    1296.2032 
     280         2800    389.14758    389.14758    389.14758 0.0050089388     58930891    1.0250756    1.0620505   0.98252526     1.030651   -10.072021    217.88113   -10.072021    1329.4493    1319.3772 
     300         3000    388.29249    388.29249    388.29249 0.0050421037     58543267    1.0429529    1.0820484    0.9984234    1.0483868   -10.213819    221.26067   -10.213819    1350.0702    1339.8564 
     320         3200    388.12725    388.12725    388.12725 0.0050485463     58468559     1.047483    1.0849003    1.0042689      1.05328   -10.281968    222.34784   -10.281968    1356.7039    1346.4219 
     340         3400    388.65994    388.65994    388.65994 0.0050278161     58709631    1.0359215    1.0763249   0.99016739    1.0412722   -10.208229    220.18312   -10.208229    1343.4953    1333.2871 
     360         3600    389.70486    389.70486    389.70486 0.0049874812     59184429     1.010355    1.0504077   0.96462645    1.0160309   -9.7034814    215.15212   -9.7034814    1312.7976    1303.0941 
     380         3800    390.85989    390.85989    390.85989 0.0049433961     59712235   0.97528212     1.008785   0.93592365   0.98113767   -10.394334    210.39049   -10.394334    1283.7435    1273.3491 
     400         4000    391.61598    391.61598    391.61598 0.0049148188     60059432   0.95782894   0.98969686   0.91989227    0.9638977   -10.644833     208.1832   -10.644833    1270.2752    1259.6304 
     420         4200     391.7291     391.7291     391.7291 0.0049105622     60111493   0.96533105   0.99681512   0.93066104     0.968517   -9.8787351    208.67131   -9.8787351    1273.2535    1263.3748 
     440         4400    391.29635    391.29635    391.29635 0.0049268727     59912492   0.97781652    1.0160812   0.93393832   0.98342999   -10.738441    211.58585   -10.738441    1291.0372    1280.2988 
     460         4600    390.54426    390.54426    390.54426 0.0049553915     59567690    1.0060991    1.0394202   0.96136526    1.0175117    -9.832169    214.90152    -9.832169    1311.2685    1301.4363 
     480         4800    389.84642    389.84642    389.84642   0.00498205     59248949    1.0221301    1.0585036    0.9729237    1.0349629   -9.9625183    217.38392   -9.9625183    1326.4154    1316.4529 
     500         5000    389.45037    389.45037    389.45037  0.004997265     59068555    1.0278134    1.0668284   0.97352377    1.0430881   -9.5629443    218.16501   -9.5629443    1331.1814    1321.6185 
     520         5200    389.44877    389.44877    389.44877 0.0049973265     59067829    1.0204391    1.0575877   0.97216433    1.0315653   -9.2592478    217.56277   -9.2592478    1327.5067    1318.2474 
     540         5400    389.79972    389.79972    389.79972 0.0049838407     59227660    1.0056328    1.0459367   0.96027868    1.0106829   -9.0372324    216.07181   -9.0372324    1318.4093     1309.372 
     560         5600    390.39282    390.39282    390.39282 0.0049611604     59498424   0.99171647    1.0323699   0.94632644   0.99645305   -8.6050974    214.24331   -8.6050974    1307.2523    1298.6472 
     580         5800    391.10935    391.10935    391.10935 0.0049339431     59826637   0.98016366    1.0206922   0.93393678   0.98586203   -8.4601547    212.73442   -8.4601547    1298.0455    1289.5853 
     600         6000     391.8141     391.8141     391.8141 0.0049073672     60150629   0.97389095    1.0126378   0.92686543   0.98216966   -8.3949576    211.99209   -8.3949576     1293.516    1285.1211 
     620         6200    392.36526    392.36526    392.36526 0.0048867159     60404826   0.97216681    1.0095258   0.92555342   0.98142121    -8.687373    212.48647    -8.687373    1296.5325    1287.8452 
     640         6400    392.64375    392.64375    392.64375 0.0048763254     60533537   0.97917584    1.0174724   0.93432823   0.98572687   -9.2607668     214.7882   -9.2607668    1310.5771    1301.3163 
     660         6600    392.67263    392.67263    392.67263 0.0048752493     60546899     1.005985    1.0499248    0.9562754    1.0117547   -8.9050834    219.29545   -8.9050834     1338.079     1329.174 
     680         6800     392.8148     392.8148     392.8148  0.004869958     60612684    1.0283635    1.0712967   0.97865289     1.035141   -8.8934455    223.88446   -8.8934455    1366.0799    1357.1865 
     700         7000    393.46559    393.46559    393.46559 0.0048458333     60914441    1.0226749    1.0576132   0.98024024    1.0301714   -9.4833558    224.72495   -9.4833558    1371.2083    1361.7249 
     720         7200    394.64549    394.64549    394.64549 0.0048024991     61464088   0.99928029    1.0319745   0.95875257    1.0071138   -9.6996789    221.89137   -9.6996789    1353.9186     1344.219 
     740         7400    396.01522    396.01522    396.01522  0.004752839     62106296   0.97108434    1.0004676   0.93166227   0.98112315   -10.029734    217.97452   -10.029734    1330.0191    1319.9894 
     760         7600    397.06416    397.06416    397.06416 0.0047152709     62601117   0.95544495   0.98273334   0.91496938   0.96863212   -9.8587279    215.11406   -9.8587279    1312.5654    1302.7066 
     780         7800    397.45877    397.45877    397.45877 0.0047012406     62787943   0.94882764   0.97784715   0.90971772   0.95891806   -9.8899869    213.84057   -9.8899869    1304.7949    1294.9049 
     800         8000    397.02144    397.02144    397.02144 0.0047167935     62580909   0.95252337   0.98913472   0.90609196   0.96234343   -9.6175503    213.97376   -9.6175503    1305.6076      1295.99 
     820         8200      395.679      395.679      395.679  0.004764965     61948246   0.95942421   0.98912226   0.91351588    0.9756345   -10.799696    215.61394   -10.799696    1315.6155    1304.8158 
     840         8400     393.5703     393.5703     393.5703 0.0048419665     60963086   0.98257905     1.010642    0.9350696    1.0020255   -11.219148    217.75767   -11.219148    1328.6959    1317.4768 
     860         8600    391.32027    391.32027    391.32027 0.0049259694     59923479    1.0183397    1.0451882   0.96098159    1.0488495   -9.6155218    218.74516   -9.6155218    1334.7213    1325.1058 
     880         8800    389.67441    389.67441    389.67441 0.0049886504     59170557    1.0147986    1.0417938    0.9786952    1.0239068   -11.663568    217.89396   -11.663568    1329.5275    1317.8639 
     900         9000    388.64344    388.64344    388.64344 0.0050284565     58702153    1.0056216    1.0335745   0.97024805    1.0130423    -12.02573    214.74797    -12.02573    1310.3316    1298.3059 
     920         9200    387.96529    387.96529    387.96529 0.0050548715     58395396     1.004457    1.0312049   0.96412604      1.01804   -11.913648    212.25212   -11.913648    1295.1026     1283.189 
     940         9400     387.5339     387.5339     387.5339 0.0050717709     58200820    1.0100992    1.0356532    0.9599703    1.0346741   -11.465688    211.46655   -11.465688    1290.3093    1278.8436 
     960         9600    387.31928    387.31928    387.31928 0.0050802066     58104178     1.007141    1.0407943   0.95996748    1.0206613     -12.5863    212.04223     -12.5863    1293.8219    1281.2356 
     980         9800    387.26518    387.26518    387.26518 0.0050823359     58079834    1.0217268     1.058373   0.96611089    1.0406966    -10.96448    212.74584    -10.96448    1298.1151    1287.1507 
    1000        10000    387.48667    387.48667    387.48667 0.0050736259     58179541    1.0202698    1.0631834    0.9696577    1.0279685   -11.588865    213.95913   -11.588865    1305.5183    1293.9294 
    1020        10200    388.00255    388.00255    388.00255 0.0050534153     58412223    1.0199994    1.0568117   0.97595799    1.0272284   -10.819795    214.78453   -10.819795    1310.5547    1299.7349 
    1040        10400    388.79073    388.79073    388.79073 0.0050227437     58768920    1.0092528    1.0432542   0.96280419       1.0217    -11.13729     215.4667    -11.13729    1314.7171    1303.5798 
    1060        10600    389.73098    389.73098    389.73098 0.0049864782     59196333    1.0072713    1.0474984   0.95696684    1.0173487   -10.053295    215.64361   -10.053295    1315.7965    1305.7432 
    1080        10800    390.78545    390.78545    390.78545 0.0049462216     59678124   0.99710728    1.0281597     0.950721    1.0124411   -10.352573    215.93868   -10.352573    1317.5969    1307.2444 
    1100        11000    391.82901    391.82901    391.82901 0.0049068071     60157495   0.99783139    1.0198871   0.95058848    1.0230186   -9.2669018    216.45464   -9.2669018    1320.7452    1311.4783 
    1120        11200    392.82145    392.82145    392.82145 0.0048697105     60615764   0.99587953    1.0191427   0.95410385    1.0143921   -10.170027     218.9089   -10.170027    1335.7204    1325.5504 
