run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 54 54 54
Memory usage per processor = 3.75344 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0     376.0721     376.0721     376.0721 0.0055497749     53187963   0.99817374    1.0224778   0.98869972   0.98334375    -10.81082    191.56009    -10.81082    1168.8457    1158.0348 
      20          200    377.36186    377.36186    377.36186  0.005493065     53737072   0.95865447   0.98126836   0.95119397   0.94350108   -11.181345    186.68606   -11.181345    1139.1057    1127.9244 
      40          400    378.02648    378.02648    378.02648 0.0054641432     54021502   0.92429424    0.9402254   0.92072518   0.91193214   -11.547941    181.49207   -11.547941    1107.4135    1095.8655 
      60          600    377.57727    377.57727    377.57727 0.0054836688     53829149   0.92895888   0.93985606   0.91717938   0.92984119   -10.741749    179.97003   -10.741749    1098.1264    1087.3846 
      80          800    376.03497    376.03497    376.03497 0.0055514194     53172207   0.94881353   0.96132881   0.94232855   0.94278324    -11.76683    182.57144    -11.76683    1113.9995    1102.2326 
     100         1000     373.8524     373.8524     373.8524 0.0056492163     52251712     0.986397    0.9995878   0.98584416   0.97375903   -12.233665     186.7297   -12.233665     1139.372    1127.1383 
     120         1200    371.92892    371.92892    371.92892 0.0057373173     51449346     1.027805    1.0351828    1.0202016    1.0280306   -11.548406    190.06807   -11.548406    1159.7418    1148.1934 
     140         1400    370.88938    370.88938    370.88938 0.0057856949     51019148    1.0383913    1.0527576    1.0292897    1.0331265   -12.730938      191.943   -12.730938    1171.1821    1158.4511 
     160         1600    370.64574    370.64574    370.64574 0.0057971119     50918669    1.0438621    1.0650642    1.0339536    1.0325685   -12.362355    191.77983   -12.362355    1170.1865    1157.8241 
     180         1800    371.01015    371.01015    371.01015 0.0057800471     51069000    1.0367822    1.0528222    1.0341296    1.0233946   -11.806129    190.15994   -11.806129    1160.3024    1148.4962 
     200         2000    371.74887    371.74887    371.74887 0.0057456578     51374662    1.0127919    1.0259104    1.0087286    1.0037365   -12.101876    187.93462   -12.101876    1146.7241    1134.6222 
     220         2200    372.52399    372.52399    372.52399 0.0057098671     51696689   0.99198988    1.0044202   0.99026491   0.98128451   -12.098083    185.85953   -12.098083    1134.0625    1121.9644 
     240         2400    373.08943    373.08943    373.08943 0.0056839453     51932453   0.98478355   0.99552245   0.98574957   0.97307863   -11.584072    184.70717   -11.584072    1127.0311     1115.447 
     260         2600     373.4082     373.4082     373.4082 0.0056694008     52065683   0.99078835     1.011489    0.9852834   0.97559263   -10.656054    185.17245   -10.656054    1129.8701     1119.214 
     280         2800    373.59222    373.59222    373.59222 0.0056610276     52142693    1.0022067    1.0286406   0.99340879   0.98457076   -10.699356     188.5151   -10.699356     1150.266    1139.5666 
     300         3000    373.81993    373.81993    373.81993 0.0056506886     52238098     1.019868    1.0406796    1.0162532    1.0026714    -10.61984    193.06187    -10.61984    1178.0091    1167.3893 
     320         3200    374.32112    374.32112    374.32112 0.0056280215     52448489    1.0223724    1.0423512    1.0170257    1.0077404   -10.667717    194.78723   -10.667717    1188.5368     1177.869 
     340         3400    375.17496    375.17496    375.17496 0.0055896834     52808219    1.0165615    1.0324975    1.0122583    1.0049288   -9.5884366    193.60024   -9.5884366    1181.2941    1171.7057 
     360         3600     376.2859     376.2859     376.2859 0.0055403205     53278727   0.99058845    1.0084526   0.98561592   0.97769681   -9.9656668    191.15093   -9.9656668    1166.3491    1156.3834 
     380         3800    377.29393    377.29393    377.29393 0.0054960322     53708060   0.96684738   0.98259896   0.96504169   0.95290148   -10.103223    188.43048   -10.103223    1149.7497    1139.6464 
     400         4000    377.83385    377.83385    377.83385 0.0054725044     53938965   0.95419028   0.97040849   0.95298711   0.93917523   -10.382441    186.61724   -10.382441    1138.6858    1128.3034 
     420         4200    377.70457    377.70457    377.70457 0.0054781261     53883613   0.95702157   0.97724916   0.95327033   0.94054523   -10.634665    186.26676   -10.634665    1136.5472    1125.9126 
     440         4400     376.8746     376.8746     376.8746 0.0055143984     53529180   0.97452021   0.99132422   0.96009956   0.97213685   -10.441436     187.3852   -10.441436    1143.3717    1132.9302 
     460         4600     375.4288     375.4288     375.4288 0.0055783526     52915483   0.99553013    1.0048207   0.99151895   0.99025068   -11.075446    189.97259   -11.075446    1159.1592    1148.0838 
     480         4800    373.57899    373.57899    373.57899 0.0056616287     52137157    1.0212679    1.0330972    1.0142313    1.0164752   -12.260571    193.58068   -12.260571    1181.1747    1168.9142 
     500         5000    371.77438    371.77438    371.77438 0.0057444754     51385236    1.0549095    1.0710189    1.0404485    1.0532612   -12.789026    196.88459   -12.789026    1201.3343    1188.5453 
     520         5200    370.61005    370.61005    370.61005 0.0057987869     50903961    1.0805982    1.1040447    1.0747477    1.0630022   -12.125568    197.26244   -12.125568    1203.6398    1191.5143 
     540         5400    370.48102    370.48102    370.48102 0.0058048478     50850812    1.0636164    1.0689788    1.0794943    1.0423762   -12.189363    193.28542   -12.189363    1179.3731    1167.1838 
     560         5600    371.27948    371.27948    371.27948 0.0057674772     51180302    1.0193602    1.0375488    1.0190249    1.0015068   -13.421064    188.18538   -13.421064    1148.2542    1134.8331 
     580         5800    372.60779    372.60779    372.60779 0.0057060154     51731585   0.99157044    1.0042532   0.99702251   0.97343561    -12.66377    184.41409    -12.66377    1125.2428     1112.579 
     600         6000    374.10976    374.10976    374.10976 0.0056375659     52359694   0.97223857   0.98726884   0.97454514   0.95490173   -11.382506     182.3671   -11.382506    1112.7526    1101.3701 
