run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 57 57 57
Memory usage per processor = 3.78106 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    392.09899    392.09899    392.09899 0.0048966783     60281932     1.030191    1.0322593    1.0457225    1.0125914   -8.5817938    224.17754   -8.5817938    1367.8682    1359.2864 
      20          200    390.93568    390.93568    390.93568 0.0049405217     59746975    1.0317217    1.0327205    1.0488081    1.0136366   -8.6330105    222.02439   -8.6330105    1354.7303    1346.0972 
      40          400     390.0561     390.0561     390.0561 0.0049740196     59344604     1.031101    1.0310286    1.0534151    1.0088592   -7.6883947    218.67874   -7.6883947    1334.3161    1326.6277 
      60          600    389.51251    389.51251    389.51251 0.0049948736     59096835    1.0226948    1.0247754    1.0481583   0.99515081   -7.8716347    216.65004   -7.8716347    1321.9375    1314.0659 
      80          800    389.23996    389.23996    389.23996 0.0050053733     58972869    1.0137943     1.024149       1.0231   0.99413393   -9.2442655    216.62398   -9.2442655    1321.7785    1312.5342 
     100         1000    389.20862    389.20862    389.20862 0.0050065826     58958625    1.0416675    1.0408692    1.0482789    1.0358544    -5.519853    217.08259    -5.519853    1324.5768    1319.0569 
     120         1200    389.75043    389.75043    389.75043  0.004985732     59205193    1.0265861     1.034303    1.0408756    1.0045797   -8.0182584     218.8749   -8.0182584     1335.513    1327.4947 
     140         1400    390.86361    390.86361    390.86361  0.004943255     59713938    1.0163016    1.0236331     1.030824    0.9944478   -8.3642065    219.73759   -8.3642065    1340.7769    1332.4127 
     160         1600    392.46097    392.46097    392.46097 0.0048831414     60449043     1.007662    1.0147336    1.0260164   0.98223607    -7.625605    219.47352    -7.625605    1339.1656      1331.54 
     180         1800    394.31965    394.31965    394.31965 0.0048144143     61311970   0.98866317    1.0019713   0.99761042   0.96640779   -8.6280073    219.01792   -8.6280073    1336.3856    1327.7576 
     200         2000    396.05695    396.05695    396.05695 0.0047513366     62125934   0.98416463   0.99909707   0.98716004   0.96623678   -7.4550038    218.53013   -7.4550038    1333.4092    1325.9542 
     220         2200    397.43665    397.43665    397.43665 0.0047020254     62777462   0.97351961   0.97085113   0.98796977   0.96173795   -7.6997707    219.11916   -7.6997707    1337.0033    1329.3036 
     240         2400    398.26681    398.26681    398.26681 0.0046726836     63171670   0.96437032   0.96522472   0.97895323   0.94893303   -8.9766233    220.78185   -8.9766233    1347.1486     1338.172 
     260         2600    398.49645    398.49645    398.49645 0.0046646102     63281005   0.97467818   0.97827347   0.98883944   0.95692164   -8.9172479    222.70542   -8.9172479    1358.8857    1349.9684 
     280         2800    398.34297    398.34297    398.34297 0.0046700042     63207915   0.99081839   0.99911434    1.0030317   0.97030913   -8.3610871    224.33162   -8.3610871    1368.8083    1360.4472 
     300         3000    398.04328    398.04328    398.04328 0.0046805601     63065363   0.99274481   0.99579033    1.0068657   0.97557841   -9.4129225    225.45665   -9.4129225    1375.6729      1366.26 
     320         3200    397.65928    397.65928    397.65928 0.0046941326     62883018    1.0017652    1.0051972    1.0083854   0.99171308   -8.0836398    225.17816   -8.0836398    1373.9737    1365.8901 
     340         3400    397.28269    397.28269    397.28269 0.0047074945     62704529   0.98988873   0.99194166   0.99990455   0.97781999   -8.9567237    224.09716   -8.9567237    1367.3777     1358.421 
     360         3600     396.7481     396.7481     396.7481 0.0047265488     62451746   0.98109816   0.98387939   0.99724133   0.96217377   -8.6525863    221.70218   -8.6525863    1352.7642    1344.1116 
     380         3800    395.85263    395.85263    395.85263 0.0047586979     62029831   0.97995695   0.98165666   0.99613625   0.96207795   -7.3233616    218.40888   -7.3233616    1332.6694    1325.3461 
     400         4000    394.43716    394.43716    394.43716 0.0048101126     61366801   0.97428497   0.97417271   0.98956295   0.95911925   -8.0140976    216.24229   -8.0140976    1319.4495    1311.4354 
     420         4200    392.34641    392.34641    392.34641 0.0048874201     60396123   0.98948507   0.99251428    1.0030482   0.97289272   -8.1213026    216.44519   -8.1213026    1320.6876    1312.5663 
     440         4400    389.93481    389.93481    389.93481 0.0049786627     59289259    1.0207529    1.0281684    1.0309518    1.0031384   -8.2801756    218.81549   -8.2801756    1335.1504    1326.8703 
     460         4600    388.03609    388.03609    388.03609 0.0050521049     58427374    1.0533386    1.0674028      1.05829    1.0343229    -8.182059    221.64415    -8.182059    1352.4102    1344.2281 
     480         4800    387.18763    387.18763    387.18763 0.0050853904     58044949    1.0651807    1.0719632    1.0747873    1.0487917   -9.5275991    223.98403   -9.5275991    1366.6874    1357.1598 
     500         5000    387.37727    387.37727    387.37727 0.0050779256     58130277    1.0779623    1.0838389    1.0886939    1.0613542   -9.3958019    226.05904   -9.3958019    1379.3485    1369.9527 
     520         5200    388.55882    388.55882    388.55882 0.0050317427     58663815    1.0883913    1.0891506    1.1075978    1.0684256   -8.8995947    229.31256   -8.8995947    1399.2006     1390.301 
     540         5400    390.57011    390.57011    390.57011 0.0049544073     59579523    1.0686109    1.0724667    1.0840865    1.0492796   -9.9775236    230.56419   -9.9775236    1406.8377    1396.8602 
     560         5600    392.79577    392.79577    392.79577 0.0048706658     60603875    1.0430514    1.0490937    1.0567227    1.0233379   -9.6006477    228.50828   -9.6006477    1394.2931    1384.6925 
     580         5800    394.69419    394.69419    394.69419 0.0048007216     61486844    1.0131776    1.0199084    1.0223756   0.99724876   -9.4138479    224.74647   -9.4138479    1371.3396    1361.9257 
     600         6000    396.05855    396.05855    396.05855 0.0047512791     62126686    0.9874713   0.99471315   0.99523854   0.97246222    -8.794656      220.554    -8.794656    1345.7583    1336.9637 
     620         6200    396.84288    396.84288    396.84288 0.0047231633     62496510   0.96170901   0.96857079   0.97000616   0.94655008   -9.3978896    217.64056   -9.3978896    1327.9814    1318.5835 
     640         6400    396.93577    396.93577    396.93577  0.004719848     62540410   0.95355767   0.95925569   0.96323734   0.93817999   -9.5932422    216.72996   -9.5932422    1322.4251    1312.8319 
     660         6600    396.36668    396.36668    396.36668 0.0047402071     62271799   0.97297171   0.99766767   0.97110859   0.95013889   -8.1943351    217.90446   -8.1943351    1329.5916    1321.3973 
     680         6800    395.44311    395.44311    395.44311 0.0047734976     61837515   0.99259951    1.0080112    0.9917252   0.97806209   -9.0410019    221.47108   -9.0410019    1351.3541    1342.3131 
     700         7000    394.50225    394.50225    394.50225 0.0048077322     61397185    1.0194668    1.0291391    1.0251032    1.0041582    -9.589035     225.7945    -9.589035    1377.7344    1368.1453 
     720         7200    393.94491    393.94491    393.94491 0.0048281668     61137330     1.047305    1.0638007    1.0556546    1.0224596   -8.5484576    228.56132   -8.5484576    1394.6168    1386.0683 
     740         7400    394.10135    394.10135    394.10135 0.0048224191     61210198    1.0442725    1.0665049     1.048932    1.0173807   -9.1113962    228.79032   -9.1113962    1396.0141    1386.9027 
     760         7600    394.93878    394.93878    394.93878 0.0047918077     61601225    1.0283334    1.0433873    1.0263312    1.0152819   -7.2941602    225.34263   -7.2941602    1374.9772    1367.6831 
     780         7800    396.12115    396.12115    396.12115  0.004749027     62156148    0.9758362    0.9913145   0.97407202   0.96212209   -9.2498803    219.61103   -9.2498803    1340.0046    1330.7547 
     800         8000    396.93949    396.93949    396.93949 0.0047197153     62542167   0.94982085   0.96299355   0.94850028   0.93796872    -8.313045    214.21732    -8.313045    1307.0937    1298.7806 
     820         8200    396.98003    396.98003    396.98003 0.0047182694     62561333   0.94353797   0.95432466   0.94410126   0.93218798   -9.0179938    213.26942   -9.0179938    1301.3099    1292.2919 
     840         8400    396.17285    396.17285    396.17285 0.0047471678     62180491   0.97334506   0.98376075   0.97138111   0.96489331   -7.0016358    215.18394   -7.0016358    1312.9917    1305.9901 
     860         8600    394.84083    394.84083    394.84083  0.004795375     61555399   0.98863797    1.0116225    0.9890649   0.96522649    -9.282693    219.17921    -9.282693    1337.3698    1328.0871 
     880         8800     393.3435     393.3435     393.3435  0.004850347     60857754    1.0200374    1.0429667    1.0231935    0.9939521   -8.6759672    222.60157   -8.6759672     1358.252    1349.5761 
     900         9000    392.19226    392.19226    392.19226 0.0048931853     60324964    1.0424865    1.0512989     1.066743    1.0094175    -8.087208    224.88476    -8.087208    1372.1834    1364.0962 
     920         9200    391.70955    391.70955    391.70955 0.0049112977     60102491    1.0407445    1.0690104     1.044878    1.0083453   -8.8257349    225.59389   -8.8257349    1376.5104    1367.6846 
     940         9400    391.86022    391.86022    391.86022 0.0049056346     60171874    1.0344672    1.0677661    1.0336199    1.0020155    -8.118817    224.21277    -8.118817    1368.0831    1359.9643 
     960         9600    392.51527    392.51527    392.51527 0.0048811152     60474136    1.0141884    1.0383594    1.0180075   0.98619829   -8.5757058    221.60891   -8.5757058    1352.1951    1343.6194 
     980         9800    393.42717    393.42717    393.42717 0.0048472531     60896598    1.0007519    1.0212215    1.0082531    0.9727812   -7.3369027    218.28188   -7.3369027    1331.8945    1324.5576 
    1000        10000    394.36948    394.36948    394.36948 0.0048125895     61335217   0.97997959    1.0032116   0.98282068   0.95390652   -7.5643847    215.91306   -7.5643847    1317.4406    1309.8762 
    1020        10200    395.05494    395.05494    395.05494 0.0047875822     61655594   0.96525606   0.98445949   0.96758575   0.94372294   -8.2541067    215.56904   -8.2541067    1315.3415    1307.0874 
    1040        10400    395.27143    395.27143    395.27143 0.0047797199     61757013   0.97716233   0.99672184   0.97934686    0.9554183   -8.3262418    218.79611   -8.3262418    1335.0322     1326.706 
    1060        10600    395.16514    395.16514    395.16514  0.004783578     61707205    1.0088593    1.0285229    1.0096513    0.9884036   -8.4340307    224.99643   -8.4340307    1372.8648    1364.4308 
    1080        10800    395.17392    395.17392    395.17392 0.0047832593     61711316    1.0307404    1.0498598    1.0267102    1.0156513   -7.9195086    228.23801   -7.9195086     1392.644    1384.7245 
    1100        11000    395.70726    395.70726    395.70726 0.0047639442     61961520    1.0219496    1.0444709    1.0192284    1.0021493   -8.5708648    228.04575   -8.5708648    1391.4709       1382.9 
    1120        11200    396.86364    396.86364    396.86364 0.0047224219     62506322    0.9972377    1.0192092    1.0014686   0.97103524   -8.8794059    225.30851   -8.8794059     1374.769    1365.8896 
    1140        11400    398.42188    398.42188    398.42188 0.0046672299     63245486   0.96709657   0.98601853   0.97336748    0.9419037   -8.9177108    221.34186   -8.9177108    1350.5656    1341.6479 
    1160        11600    399.86567    399.86567    399.86567 0.0046168564     63935544    0.9417841   0.95970374   0.94997416   0.91567439   -9.5349442    218.05194   -9.5349442    1330.4915    1320.9565 
    1180        11800    400.64464    400.64464    400.64464 0.0045899791     64309928   0.94936037   0.96898414   0.94787367   0.93122331   -7.0675924    216.25712   -7.0675924      1319.54    1312.4724 
    1200        12000    400.62282    400.62282    400.62282 0.0045907292     64299420   0.94365087   0.95953399    0.9486283   0.92279032   -9.2324626    217.86567   -9.2324626    1329.3549    1320.1224 
    1220        12200    399.62854    399.62854    399.62854   0.00462508     63821863   0.96608182   0.99540341   0.96854232   0.93429973   -8.6285542    221.92316   -8.6285542    1354.1126     1345.484 
    1240        12400    397.81522    397.81522    397.81522 0.0046886149     62957021     1.003336    1.0223717    1.0065168   0.98111956   -8.2412867     227.6608   -8.2412867     1389.122    1380.8807 
    1260        12600    395.85925    395.85925    395.85925 0.0047584592     62032942    1.0344049    1.0559504    1.0389461    1.0083182     -8.68146    232.02142     -8.68146    1415.7293    1407.0478 
    1280        12800    394.45325    394.45325    394.45325 0.0048095242     61374309    1.0579134    1.0897659     1.055358    1.0286162   -7.3829848    232.20957   -7.3829848    1416.8773    1409.4944 
    1300        13000    393.93637    393.93637    393.93637 0.0048284807     61133356    1.0528929    1.0708417    1.0740122    1.0138247   -6.4269755    228.24061   -6.4269755    1392.6599    1386.2329 
    1320        13200    394.21491    394.21491    394.21491 0.0048182529     61263124    1.0158474    1.0373922    1.0218008   0.98834913   -8.2597709    224.30812   -8.2597709    1368.6649    1360.4052 
    1340        13400    394.80791    394.80791    394.80791 0.0047965745     61540006   0.99473568    1.0162554   0.99746824    0.9704834   -8.2414545    222.09481   -8.2414545    1355.1599    1346.9185 
    1360        13600    395.36762    395.36762    395.36762 0.0047762324     61802107   0.98501239    1.0044734   0.98696652   0.96359726   -8.0389846    220.67035   -8.0389846    1346.4683    1338.4293 
    1380        13800    395.75612    395.75612    395.75612 0.0047621799     61984476   0.98554067    1.0008482   0.98481281   0.97096094   -7.3411698    219.86512   -7.3411698     1341.555    1334.2138 
    1400        14000    395.96336    395.96336    395.96336 0.0047547066     62081901   0.98502304    1.0044284   0.98721309   0.96342761   -7.4265521    220.05147   -7.4265521     1342.692    1335.2655 
    1420        14200    395.97211    395.97211    395.97211 0.0047543914     62086017   0.98694924    1.0089767   0.99309347   0.95877757   -7.6435441    221.17816   -7.6435441    1349.5668    1341.9233 
    1440        14400    395.73339    395.73339    395.73339 0.0047630008     61973792   0.99498075    1.0138029    1.0031015   0.96803784   -7.7540457     223.0191   -7.7540457    1360.7997    1353.0457 
    1460        14600    395.20249    395.20249    395.20249 0.0047822217     61724705    1.0072361    1.0262372    1.0135129   0.98195815   -8.0178593    225.13863   -8.0178593    1373.7325    1365.7146 
    1480        14800    394.42889    394.42889    394.42889 0.0048104155     61362937    1.0225407    1.0402495    1.0296504   0.99772211   -8.1731378    226.73231   -8.1731378    1383.4566    1375.2835 
    1500        15000    393.67993    393.67993    393.67993 0.0048379226     61014044     1.032743    1.0491282    1.0420223    1.0070784   -8.1696914    226.75049   -8.1696914    1383.5676    1375.3979 
    1520        15200    393.23948    393.23948    393.23948 0.0048541969     60809487    1.0209733    1.0353093    1.0306173   0.99699332   -9.4399942    224.56425   -9.4399942    1370.2278    1360.7878 
    1540        15400    393.06321    393.06321    393.06321 0.0048607304     60727751    1.0043363    1.0215688    1.0112802   0.98015998   -10.203086    220.70551   -10.203086    1346.6828    1336.4798 
    1560        15600    392.96053    392.96053    392.96053 0.0048645419     60680169     1.004228    1.0157302     1.011837   0.98511678   -8.8204841    217.48722   -8.8204841    1327.0457    1318.2253 
    1580        15800    392.87911    392.87911    392.87911 0.0048675667     60642462   0.99473234    1.0121815   0.99445298   0.97756255   -9.5317364    216.67965   -9.5317364    1322.1181    1312.5864 
    1600        16000    392.70127    392.70127    392.70127 0.0048741827     60560147   0.99052472    1.0074505   0.99390351   0.97022011   -9.9441153    217.61348   -9.9441153    1327.8161     1317.872 
    1620        16200    392.34567    392.34567    392.34567 0.0048874477     60395781    1.0023061    1.0216243    1.0064567   0.97883722   -9.2798085    219.64229   -9.2798085    1340.1953    1330.9155 
    1640        16400    391.93869    391.93869    391.93869 0.0049026886     60208030    1.0177516    1.0399544    1.0227911    0.9905092   -9.1100085    222.11575   -9.1100085    1355.2877    1346.1777 
    1660        16600     391.7295     391.7295     391.7295 0.0049105473     60111675    1.0352342    1.0614085    1.0343193    1.0099748   -7.9985247    223.68655   -7.9985247    1364.8723    1356.8738 
    1680        16800     392.0279     392.0279     392.0279 0.0048993426     60249149    1.0281559    1.0480065    1.0339194    1.0025417   -9.0675728    224.14246   -9.0675728    1367.6541    1358.5865 
    1700        17000    392.93322    392.93322    392.93322 0.0048655561     60667521    1.0147838    1.0324834    1.0225236   0.98934439   -9.2307455    223.03794   -9.2307455    1360.9146    1351.6839 
    1720        17200    394.36929    394.36929    394.36929 0.0048125965     61335129    0.9963369     1.015697     1.003732   0.96958166   -9.4215476    221.16456   -9.4215476    1349.4838    1340.0623 
    1740        17400    396.07059    396.07059    396.07059 0.0047508457     62132353   0.98078488   0.99892226   0.98520012   0.95823225    -8.854904    219.23792    -8.854904     1337.728    1328.8731 
    1760        17600    397.64816    397.64816    397.64816 0.0046945265     62877742   0.96265682    0.9840777   0.97194102   0.93195174   -9.3352027    218.28723   -9.3352027    1331.9271    1322.5919 
    1780        17800      398.713      398.713      398.713 0.0046570139     63384227   0.95866619   0.97121117   0.96935505   0.93543234    -9.171713    218.43264    -9.171713    1332.8144    1323.6427 
    1800        18000    399.18218    399.18218    399.18218 0.0046406123     63608250   0.96929787   0.97277182   0.98688337   0.94823842   -7.4107425    219.37711   -7.4107425    1338.5773    1331.1665 
