run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 55 55 55
Memory usage per processor = 3.75774 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    378.95351    378.95351    378.95351 0.0054241406     54419906   0.98856177   0.97860988    0.9656725    1.0214029   -11.185582    196.00328   -11.185582    1195.9568    1184.7712 
      20          200     379.2005     379.2005     379.2005 0.0054135486     54526383    1.0125478    1.0065062   0.97788694    1.0532504   -9.3825563    197.65203   -9.3825563     1206.017    1196.6344 
      40          400    379.70692    379.70692    379.70692  0.005391917     54745135     1.019517    1.0368069   0.98230424    1.0394399   -9.5748434    199.46761   -9.5748434    1217.0951    1207.5203 
      60          600     380.6774     380.6774     380.6774 0.0053507845     55165971    1.0074603    1.0142454    0.9771677     1.030968   -10.617085    200.80124   -10.617085    1225.2326    1214.6155 
      80          800    381.98699    381.98699    381.98699 0.0052959395     55737273   0.99724941   0.98781126   0.96998996     1.033947    -10.16883    201.02465    -10.16883    1226.5958    1216.4269 
     100         1000    383.39055    383.39055    383.39055 0.0052379881     56353931   0.98043503   0.96753781   0.95713707    1.0166302   -10.162422    200.05945   -10.162422    1220.7064     1210.544 
     120         1200    384.55454    384.55454    384.55454 0.0051905683     56868768   0.95998303   0.94597991   0.94023322   0.99373595   -10.238743    197.59748   -10.238743    1205.6841    1195.4454 
     140         1400    385.11392    385.11392    385.11392 0.0051679832     57117295   0.94435787   0.92900139   0.91990647   0.98416576    -9.812068    194.15825    -9.812068    1184.6989    1174.8869 
     160         1600     384.7839     384.7839     384.7839 0.0051812916     56970587   0.93200754   0.92249804   0.90471175   0.96881284   -10.521234    191.77388   -10.521234    1170.1502    1159.6289 
     180         1800     383.3567     383.3567     383.3567 0.0052393757     56339007   0.94373933   0.94509896   0.91788998   0.96822905   -10.155774    191.41096   -10.155774    1167.9357      1157.78 
     200         2000    381.05095    381.05095    381.05095 0.0053350634     55328532   0.96609165   0.96695701   0.93606237   0.99525556   -10.887948    193.21095   -10.887948    1178.9188    1168.0308 
     220         2200    378.65824    378.65824    378.65824 0.0054368393     54292800   0.99625743   0.99509189    0.9634528    1.0302276   -11.134176    195.58474   -11.134176     1193.403    1182.2688 
     240         2400     376.9611     376.9611     376.9611  0.005510603     53566048    1.0190379    1.0159427   0.98533623    1.0558347   -10.872513    196.98661   -10.872513    1201.9568    1191.0843 
     260         2600    376.07071    376.07071    376.07071 0.0055498365     53187373     1.018795    1.0113054   0.99262539    1.0524543   -11.661478     196.7649   -11.661478    1200.6039    1188.9425 
     280         2800    375.67792    375.67792    375.67792 0.0055672626     53020891      1.00609   0.99988798   0.98002766    1.0383542    -12.55844    194.41429    -12.55844    1186.2612    1173.7027 
     300         3000    375.47253    375.47253    375.47253 0.0055764041     52933973    1.0058544   0.99284138   0.98066647    1.0440554   -11.202171     190.6907   -11.202171    1163.5409    1152.3388 
     320         3200     375.3469     375.3469     375.3469  0.005582005     52880860   0.99359062   0.97953573   0.97285347    1.0283827   -12.426728    188.72591   -12.426728    1151.5523    1139.1256 
     340         3400    375.18753    375.18753    375.18753 0.0055891215     52813528   0.99826357   0.99712265    0.9690228    1.0286453   -12.045287    188.65141   -12.045287    1151.0977    1139.0524 
     360         3600    375.01894    375.01894    375.01894 0.0055966627     52742365    1.0052377   0.99660339   0.96097652    1.0581332   -12.424232    190.62132   -12.424232    1163.1176    1150.6934 
     380         3800    374.94157    374.94157    374.94157 0.0056001277     52709731    1.0210426    1.0149751   0.98126181     1.066891    -12.18898    193.61132    -12.18898    1181.3617    1169.1727 
     400         4000    375.17225    375.17225    375.17225 0.0055898041     52807078    1.0322086     1.018403   0.98781981     1.090403   -11.744609    195.84907   -11.744609    1195.0158    1183.2712 
     420         4200    375.89305    375.89305    375.89305 0.0055577096     53112027    1.0205274    1.0141536   0.97974448     1.067684   -12.546404    196.39557   -12.546404    1198.3504     1185.804 
     440         4400    377.04227    377.04227    377.04227 0.0055070447     53600659    1.0102692    1.0003272   0.97141848    1.0590619   -11.436345    195.29971   -11.436345    1191.6638    1180.2274 
     460         4600    378.43836    378.43836    378.43836 0.0054463214     54198275   0.98894076     0.986577   0.95433004    1.0259152   -11.483654    193.97589   -11.483654    1183.5862    1172.1025 
     480         4800    379.76012    379.76012    379.76012 0.0053896512     54768149   0.98190125   0.97994537   0.96191802    1.0038403   -9.6034332      192.704   -9.6034332    1175.8255    1166.2221 
     500         5000    380.79015    380.79015    380.79015 0.0053460329     55215003   0.96362845   0.96401172   0.93231044   0.99456321   -10.640192    192.84927   -10.640192    1176.7119    1166.0717 
     520         5200    381.30924    381.30924    381.30924 0.0053242293     55441118    0.9673493   0.96589874   0.93954351   0.99660567   -10.039977    193.97673   -10.039977    1183.5913    1173.5513 
     540         5400    381.35629    381.35629    381.35629 0.0053222587     55461645   0.98363644   0.98225279   0.96154221    1.0071143   -8.8730844    195.98017   -8.8730844    1195.8158    1186.9427 
     560         5600    381.10713    381.10713    381.10713 0.0053327045     55353006   0.99064523   0.99725382   0.95327028    1.0214116   -9.6296209    198.44194   -9.6296209    1210.8368    1201.2072 
     580         5800    380.65591    380.65591    380.65591 0.0053516905     55156632    1.0015307    1.0073843   0.95948429    1.0377234   -9.4437678    200.03015   -9.4437678    1220.5276    1211.0838 
     600         6000    380.07595    380.07595    380.07595 0.0053762266     54904908     1.004154    1.0093803   0.96370541    1.0393764   -9.8608817    200.28666   -9.8608817    1222.0928    1212.2319 
     620         6200    379.29629    379.29629    379.29629 0.0054094481     54567716    1.0040354    1.0106077   0.96707612    1.0344225   -8.9787289    197.58267   -8.9787289    1205.5938    1196.6151 
     640         6400    378.07303    378.07303    378.07303 0.0054621251     54041461   0.98214762   0.98701347    0.9441699    1.0152595   -10.590817     193.0033   -10.590817    1177.6518    1167.0609 
     660         6600    375.98371    375.98371    375.98371 0.0055536901     53150468    1.0144889    1.0413345   0.97210735    1.0300249   -8.2718892    191.70883   -8.2718892    1169.7533    1161.4814 
     680         6800    373.51563    373.51563    373.51563 0.0056645104     52110633    1.0364853    1.0543275   0.98844668    1.0666817   -10.703536    193.88565   -10.703536    1183.0356    1172.3321 
     700         7000    371.59795    371.59795    371.59795 0.0057526614     51312116    1.0613897    1.0796339    1.0180757    1.0864593   -10.795031    195.67615   -10.795031    1193.9607    1183.1657 
     720         7200    370.68578    370.68578    370.68578 0.0057952335     50935173    1.0596974    1.0659715    1.0162011    1.0969197   -12.283776    196.45754   -12.283776    1198.7285    1186.4448 
     740         7400    370.68374    370.68374    370.68374 0.0057953295     50934330    1.0650673    1.0692017    1.0220654    1.1039349   -10.926277    195.33622   -10.926277    1191.8866    1180.9603 
     760         7600     371.5302     371.5302     371.5302 0.0057558091     51284054    1.0462518    1.0509393    1.0095412    1.0782749   -11.141638     193.3172   -11.141638     1179.567    1168.4254 
     780         7800    372.95084    372.95084    372.95084 0.0056902842     51874602    1.0167037    1.0253881   0.97651678    1.0482063   -11.650586    191.07041   -11.650586    1165.8578    1154.2072 
     800         8000    374.47253    374.47253    374.47253 0.0056211972     52512163   0.99697682    1.0007575   0.96201602    1.0281569   -11.540159    189.75055   -11.540159    1157.8044    1146.2642 
     820         8200    375.74374    375.74374    375.74374 0.0055643376     53048763   0.99337743   0.99398887   0.95525048     1.030893   -11.440893    190.79494   -11.440893    1164.1769     1152.736 
     840         8400    376.73087    376.73087    376.73087 0.0055207121     53467962    1.0030974    1.0041694   0.96057224    1.0445505   -11.373942    194.20613   -11.373942    1184.9911    1173.6171 
     860         8600    377.58154    377.58154    377.58154 0.0054834828     53830975    1.0064123    1.0116842   0.96474766     1.042805   -11.674598    196.91645   -11.674598    1201.5287    1189.8541 
     880         8800    378.36933    378.36933    378.36933 0.0054493029     54168621    1.0030061    1.0072737   0.96323635    1.0385081    -11.56929    197.55424    -11.56929    1205.4203     1193.851 
     900         9000     379.0726     379.0726     379.0726 0.0054190299     54471230   0.99660181   0.99452756   0.95892942    1.0363485   -11.509417    197.07846   -11.509417    1202.5172    1191.0078 
     920         9200    379.64095    379.64095    379.64095 0.0053947282     54716608    1.0060466    1.0082077   0.97142117    1.0385111   -8.8832078    195.66515   -8.8832078    1193.8936    1185.0104 
     940         9400    380.15312    380.15312    380.15312 0.0053729531     54938358    0.9844773   0.98362874   0.94148048    1.0283227   -10.073155    194.69079   -10.073155    1187.9483    1177.8752 
     960         9600    380.39681    380.39681    380.39681 0.0053626338     55044077   0.96678416   0.96751617   0.92462911    1.0082072   -10.335277    193.86745   -10.335277    1182.9246    1172.5893 
     980         9800    380.16015    380.16015    380.16015 0.0053726549     54941408   0.96692402   0.96839279   0.92551367    1.0068656   -9.7737551    193.59071   -9.7737551    1181.2359    1171.4622 
    1000        10000    379.48233    379.48233    379.48233  0.005401496     54648050   0.97686978    0.9778273   0.93604614    1.0167359   -9.7979393    194.15314   -9.7979393    1184.6677    1174.8698 
    1020        10200    378.57513    378.57513    378.57513 0.0054404209     54257057    0.9942481    0.9910737   0.95837057       1.0333   -10.036005    195.26345   -10.036005    1191.4425    1181.4065 
    1040        10400    377.76768    377.76768    377.76768 0.0054753809     53910629    1.0115934    1.0072823   0.97926242    1.0482356   -10.440661    196.36012   -10.440661    1198.1341    1187.6934 
    1060        10600    377.34463    377.34463    377.34463 0.0054938174     53729711    1.0215209    1.0213136   0.98109416    1.0621548   -10.115497    196.57478   -10.115497    1199.4439    1189.3284 
    1080        10800    377.30214    377.30214    377.30214 0.0054956736     53711564    1.0060356    1.0126667   0.95959421    1.0458459   -11.459535    195.99788   -11.459535    1195.9238    1184.4643 
    1100        11000    377.35669    377.35669    377.35669 0.0054932906     53734864   0.99715103    1.0082002   0.95268647    1.0305665   -11.411538    194.46051   -11.411538    1186.5432    1175.1317 
    1120        11200    377.37247    377.37247    377.37247 0.0054926016     53741605   0.99942775    1.0079964   0.95948977    1.0307971    -10.10156    192.58726    -10.10156    1175.1132    1165.0116 
    1140        11400    377.36966    377.36966    377.36966  0.005492724     53740408    0.9877613   0.99548111   0.94033339    1.0274694   -10.723534    191.53279   -10.723534    1168.6791    1157.9556 
    1160        11600     377.2313     377.2313     377.2313 0.0054987703     53681316    0.9840822   0.98670416   0.94018601    1.0253564   -10.702549    191.43886   -10.702549     1168.106    1157.4034 
    1180        11800    376.90871    376.90871    376.90871 0.0055129014     53543716    0.9932077   0.99449042   0.95926119    1.0258715   -10.593611    192.72237   -10.593611    1175.9376     1165.344 
    1200        12000    376.55924    376.55924    376.55924 0.0055282642     53394920    1.0108602    1.0137641   0.97625289    1.0425637   -10.294221    195.29476   -10.294221    1191.6336    1181.3394 
    1220        12200    376.39855    376.39855    376.39855 0.0055353478     53326591    1.0230576     1.032352   0.98111941    1.0557014   -10.966616    198.45386   -10.966616    1210.9095    1199.9429 
    1240        12400    376.58584    376.58584    376.58584 0.0055270931     53406233    1.0350102    1.0378651    1.0013541    1.0658115   -10.784266    200.34278   -10.784266    1222.4352    1211.6509 
    1260        12600    377.28221    377.28221    377.28221 0.0054965445     53703054    1.0326594    1.0293098   0.99516095    1.0735076   -10.563184    200.10323   -10.563184    1220.9735    1210.4103 
    1280        12800    378.45874    378.45874    378.45874 0.0054454415     54207032    1.0081946    1.0048561   0.96686625    1.0528616   -11.236827    197.74408   -11.236827    1206.5786    1195.3418 
    1300        13000     379.7689     379.7689     379.7689 0.0053892773     54771949   0.97876891   0.97485071   0.94580503     1.015651   -11.012962    193.33892   -11.012962    1179.6996    1168.6866 
    1320        13200    380.72257    380.72257    380.72257 0.0053488802     55185611   0.95082852    0.9654649   0.90318716   0.98383349   -10.862449    188.67674   -10.862449    1151.2523    1140.3898 
    1340        13400    380.91018    380.91018    380.91018 0.0053409805     55267236   0.93766013   0.94986535     0.889262   0.97385303   -11.093272     186.5116   -11.093272    1138.0412    1126.9479 
    1360        13600      380.175      380.175      380.175 0.0053720254     54947846   0.94791616    0.9505124   0.90262891   0.99060718   -11.045065     187.7623   -11.045065    1145.6727    1134.6276 
    1380        13800     378.6835     378.6835     378.6835 0.0054357515     54303664   0.97614725   0.97645133   0.92948378    1.0225066    -11.43802    192.33059    -11.43802    1173.5471    1162.1091 
    1400        14000    376.98082    376.98082    376.98082 0.0055097382     53574456    1.0187704    1.0197574   0.97024855    1.0663054   -11.167198    197.88216   -11.167198    1207.4212     1196.254 
    1420        14200    375.81153    375.81153    375.81153 0.0055613268     53077482      1.04895    1.0503429    1.0004498    1.0960573   -10.252829    200.52185   -10.252829    1223.5278     1213.275 
    1440        14400     375.5031     375.5031     375.5031 0.0055750422     52946904    1.0444086    1.0463343    1.0002978    1.0865936   -11.040066    200.43014   -11.040066    1222.9682    1211.9282 
    1460        14600    375.83569    375.83569    375.83569 0.0055602547     53087717     1.034715    1.0335635   0.99948758    1.0710939   -10.738417    198.45613   -10.738417    1210.9234     1200.185 
    1480        14800    376.52597    376.52597    376.52597 0.0055297301     53380765    1.0184985    1.0211669   0.97801256    1.0563162   -10.701414    195.67832   -10.701414     1193.974    1183.2726 
    1500        15000    377.30911    377.30911    377.30911 0.0054953688     53714543    1.0123846    1.0299064   0.95971651     1.047531   -8.3417369    192.61752   -8.3417369    1175.2978    1166.9561 
    1520        15200    377.98124    377.98124    377.98124 0.0054661054     54002110   0.97740731   0.97528888   0.94160708     1.015326   -10.648231    191.28231   -10.648231    1167.1507    1156.5025 
    1540        15400     378.2344     378.2344     378.2344 0.0054551369     54110691   0.97214697     0.966642   0.93715158    1.0126473   -10.241456    191.08125   -10.241456     1165.924    1155.6825 
    1560        15600    378.08753    378.08753    378.08753 0.0054614966     54047681   0.98470617   0.97700885   0.95237274    1.0247369   -9.6340368    192.58804   -9.6340368    1175.1179    1165.4839 
    1580        15800    377.76276    377.76276    377.76276  0.005475595     53908521    1.0014237    1.0000597   0.96807733    1.0361339    -9.797028    195.57672    -9.797028     1193.354     1183.557 
    1600        16000    377.50325    377.50325    377.50325 0.0054868951     53797497    1.0167199    1.0132162   0.98309127    1.0538523   -10.163519    198.67569   -10.163519    1212.2631    1202.0996 
    1620        16200    377.50441    377.50441    377.50441 0.0054868445     53797993    1.0255863    1.0263314   0.98803631    1.0623911   -10.402478    200.31647   -10.402478    1222.2746    1211.8722 
    1640        16400    377.86713    377.86713    377.86713 0.0054710587     53953218    1.0192892    1.0191083   0.98099195    1.0577673    -11.43893    199.99591    -11.43893    1220.3187    1208.8797 
    1660        16600    378.52929    378.52929    378.52929 0.0054423976     54237351    1.0122448    1.0182539   0.96993603    1.0485443   -10.855816     197.2656   -10.855816    1203.6591    1192.8033 
    1680        16800    379.35063    379.35063    379.35063 0.0054071237     54591173   0.98078924    0.9806847   0.93999664    1.0216864   -12.189035    192.98344   -12.189035    1177.5305    1165.3415 
    1700        17000    379.93862    379.93862    379.93862 0.0053820584     54845415   0.96032222   0.96593136   0.91965723   0.99537807   -11.288422    188.47329   -11.288422    1150.0109    1138.7225 
    1720        17200    379.90833    379.90833    379.90833 0.0053833457     54832300   0.93855885   0.93795382   0.90411232   0.97361041   -13.303404    187.34433   -13.303404    1143.1223    1129.8189 
    1740        17400    378.92066    378.92066    378.92066 0.0054255514     54405756   0.95716408   0.95441524   0.92829665   0.98878034    -13.02688    189.08027    -13.02688    1153.7145    1140.6876 
    1760        17600     377.0322     377.0322     377.0322 0.0055074859     53596365   0.99693403   0.99269155   0.96686393    1.0312466   -12.204401    192.40464   -12.204401    1173.9989    1161.7945 
    1780        17800    374.74663    374.74663    374.74663  0.005608872     52627556     1.031924    1.0229532     1.001503    1.0713157    -12.35176    195.85947    -12.35176    1195.0793    1182.7275 
    1800        18000    372.84972    372.84972    372.84972 0.0056949154     51832416    1.0572537    1.0505626    1.0260015    1.0951969   -12.186881    198.15825   -12.186881    1209.1058    1196.9189 
    1820        18200    371.87743    371.87743    371.87743 0.0057397012     51427978    1.0630705    1.0570616    1.0365351    1.0956149   -12.008524    198.50704   -12.008524     1211.234    1199.2255 
    1840        18400    371.84277    371.84277    371.84277 0.0057413062     51413600    1.0534665    1.0452667    1.0233834    1.0917494   -11.499708     196.7422   -11.499708    1200.4655    1188.9658 
    1860        18600    372.52504    372.52504    372.52504 0.0057098189     51697125    1.0339788    1.0285763    1.0032072     1.070153   -10.639817    193.65106   -10.639817    1181.6042    1170.9643 
    1880        18800    373.58116    373.58116    373.58116 0.0056615301     52138065    1.0088483    1.0083701   0.98022172    1.0379531   -10.287443    190.76672   -10.287443    1164.0048    1153.7173 
    1900        19000    374.60914    374.60914    374.60914   0.00561505     52569652   0.99097142   0.97816416   0.96363764    1.0311124   -10.503827    189.31784   -10.503827    1155.1641    1144.6603 
    1920        19200    375.37249    375.37249    375.37249 0.0055808636     52891675   0.99413388   0.97762142   0.97101732    1.0337629   -10.220883    189.88656   -10.220883    1158.6343    1148.4134 
    1940        19400    375.93569    375.93569    375.93569 0.0055558188     53130103    1.0046054   0.99589204   0.97158885    1.0463354   -11.208382    192.97283   -11.208382    1177.4658    1166.2574 
    1960        19600    376.48908    376.48908    376.48908 0.0055313555     53365079    1.0180589    1.0070339    0.9834135    1.0637293   -11.863649    196.42302   -11.863649    1198.5179    1186.6543 
    1980        19800    377.21284    377.21284    377.21284 0.0054995775     53673437    1.0204148    1.0100796   0.98693921    1.0642255    -11.93556    197.58321    -11.93556    1205.5971    1193.6615 
    2000        20000    378.13317    378.13317    378.13317 0.0054595193     54067255    1.0191477     1.014459    0.9877243    1.0552596   -10.225025    196.68362   -10.225025     1200.108     1189.883 
    2020        20200    379.11396    379.11396    379.11396 0.0054172566     54489061   0.99043009   0.97919597   0.95839331     1.033701   -12.369633    195.76667   -12.369633     1194.513    1182.1434 
    2040        20400     379.8538     379.8538     379.8538 0.0053856644     54808692   0.98354892   0.97655821   0.95220985    1.0218787   -11.492687    194.46384   -11.492687    1186.5635    1175.0708 
