run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 54 54 54
Memory usage per processor = 3.75286 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    373.92282    373.92282    373.92282 0.0056460255     52281242    1.0038899   0.98687413    0.9930413    1.0317543   -8.5479581    186.73097   -8.5479581    1139.3797    1130.8318 
      20          200    373.01835    373.01835    373.01835 0.0056871954     51902776    1.0081813   0.99158483    1.0028084    1.0301507    -10.32951    189.31688    -10.32951    1155.1582    1144.8287 
      40          400    372.38243    372.38243    372.38243 0.0057163813     51637777    1.0283205    1.0181661    1.0239818    1.0428136   -9.3391624    191.02014   -9.3391624     1165.551    1156.2119 
      60          600    372.20232    372.20232    372.20232 0.0057246838     51562887    1.0333784    1.0264891     1.022386    1.0512601   -9.4686621    191.62441   -9.4686621    1169.2381    1159.7695 
      80          800     372.5235     372.5235     372.5235 0.0057098893     51696488    1.0232486    1.0101478    1.0127994    1.0467986   -9.3020709    190.51317   -9.3020709    1162.4577    1153.1556 
     100         1000    373.11919    373.11919    373.11919 0.0056825852     51944883   0.99775724   0.98121938    0.9922231    1.0198292   -9.8085367    188.18056   -9.8085367    1148.2247    1138.4162 
     120         1200    373.59029    373.59029    373.59029 0.0056611152     52141886   0.97708697    0.9593881   0.96933109    1.0025417   -10.116679    185.54369   -10.116679    1132.1353    1122.0186 
     140         1400     373.6787     373.6787     373.6787 0.0056570978     52178915   0.96971397   0.94794144   0.95810397    1.0030965   -10.347262    183.81546   -10.347262    1121.5901    1111.2429 
     160         1600    373.37881    373.37881    373.37881 0.0056707399     52053388   0.97969508   0.94953869   0.97175893    1.0177876   -10.038876    183.51194   -10.038876    1119.7381    1109.6993 
     180         1800     372.9227     372.9227     372.9227 0.0056915724     51862861   0.99276327    0.9639235   0.98488051    1.0294858   -10.264281    184.89893   -10.264281    1128.2012    1117.9369 
     200         2000    372.51886    372.51886    372.51886 0.0057101029     51694554    1.0027197   0.97913654     1.000176    1.0288464   -11.678224    188.17627   -11.678224    1148.1986    1136.5204 
     220         2200    372.29953    372.29953    372.29953 0.0057202005     51603300     1.024489    1.0027208     1.022757    1.0479891   -11.963214    192.14823   -11.963214    1172.4343    1160.4711 
     240         2400    372.45469    372.45469    372.45469 0.0057130546     51667846    1.0383998      1.01657    1.0327511    1.0658783   -12.055692    194.48813   -12.055692    1186.7117    1174.6561 
     260         2600    373.06936    373.06936    373.06936 0.0056848629     51924071     1.033459    1.0081811    1.0350709    1.0571249   -12.117527    194.06589   -12.117527    1184.1354    1172.0178 
     280         2800     374.0112     374.0112     374.0112 0.0056420237     52318324    1.0116891   0.98874407    1.0067268    1.0395965   -12.003098    191.43243   -12.003098    1168.0667    1156.0636 
