run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 54 54 54
Memory usage per processor = 3.7534 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    374.70479    374.70479    374.70479  0.005610751     52609931   0.96571397   0.94429716      1.00633   0.94651471   -11.732579    184.16791   -11.732579    1123.7407    1112.0081 
      20          200    374.86226    374.86226    374.86226  0.005603683     52676289   0.97963525     0.950022    1.0309268   0.95795692   -11.060855    186.59707   -11.060855    1138.5627    1127.5019 
      40          400    374.70649    374.70649    374.70649 0.0056106748     52610646   0.99351759   0.96471015    1.0313917   0.98445093   -11.788844    189.68239   -11.788844    1157.3885    1145.5997 
      60          600    374.54606    374.54606    374.54606 0.0056178873     52543102    1.0150854    0.9808319    1.0498153     1.014609   -10.478268    191.34936   -10.478268    1167.5599    1157.0816 
      80          800    374.59308    374.59308    374.59308 0.0056157723     52562890    1.0096078   0.97801003    1.0605063   0.99030705   -11.318944    191.67132   -11.318944    1169.5244    1158.2054 
     100         1000    374.73659    374.73659    374.73659 0.0056093227     52623327   0.99940527   0.97336952    1.0415255   0.98332077   -11.280838    190.19745   -11.280838    1160.5312    1149.2504 
     120         1200    374.81729    374.81729    374.81729 0.0056057004     52657332   0.98268677   0.95885633    1.0220065   0.96719749   -11.473761    187.58294   -11.473761    1144.5782    1133.1045 
     140         1400    374.66489    374.66489    374.66489 0.0056125439     52593125   0.97304871    0.9539317    1.0109977   0.95421675   -10.950132    184.88299   -10.950132    1128.1039    1117.1538 
     160         1600    374.18181    374.18181    374.18181 0.0056343097     52389953   0.96327745   0.94145507   0.99951186   0.94886543   -12.094076      183.769   -12.094076    1121.3066    1109.2126 
     180         1800    373.32262    373.32262    373.32262 0.0056733007     52029892   0.97559741   0.94998703     1.014943    0.9618622   -12.329329     184.1155   -12.329329    1123.4209    1111.0916 
     200         2000    372.30011    372.30011    372.30011 0.0057201741     51603539    1.0042586    0.9722744    1.0466908   0.99381046   -11.630642    185.37979   -11.630642    1131.1352    1119.5046 
     220         2200    371.48592    371.48592    371.48592 0.0057578674     51265721     1.011142   0.98477348    1.0507119   0.99794067   -13.096612    187.21284   -13.096612      1142.32    1129.2234 
     240         2400    370.95445    370.95445    370.95445  0.005782651     51046004    1.0160409   0.99021818    1.0559395     1.001965   -13.754888    188.47297   -13.754888     1150.009    1136.2541 
     260         2600    370.71562    370.71562    370.71562 0.0057938345     50947473     1.029609    1.0084332    1.0624737    1.0179201   -12.842338    188.67748   -12.842338    1151.2568    1138.4145 
     280         2800    370.89736    370.89736    370.89736 0.0057853216     51022440    1.0318968    1.0109064    1.0629512    1.0218328   -11.987807    187.97097   -11.987807    1146.9459    1134.9581 
     300         3000    371.49154    371.49154    371.49154 0.0057576061     51268048    1.0085459   0.98969651     1.034844    1.0010972   -13.068346     186.9736   -13.068346    1140.8602    1127.7919 
     320         3200    372.24124    372.24124    372.24124 0.0057228885     51579062   0.99321273   0.97481065    1.0277093   0.97711821   -12.707624    185.83057   -12.707624    1133.8857    1121.1781 
     340         3400    372.93353    372.93353    372.93353 0.0056910767     51867378   0.98724467   0.96683131    1.0229126   0.97199004    -11.82176    185.10351    -11.82176    1129.4494    1117.6277 
     360         3600    373.46546    373.46546    373.46546 0.0056667938     52089635    0.9817292   0.95625502    1.0188862   0.97004636   -11.618171    184.97655   -11.618171    1128.6748    1117.0566 
