run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 57 57 57
Memory usage per processor = 3.78083 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    395.89352    395.89352    395.89352 0.0047572234     62049057     1.029296    1.0220078    1.0342236    1.0316565   -8.2758253    230.21173   -8.2758253    1404.6871    1396.4113 
      20          200    394.63181    394.63181    394.63181 0.0048029987     61457694    1.0471212    1.0403224    1.0498702    1.0511709    -8.611012    232.68209    -8.611012    1419.7605    1411.1495 
      40          400    394.25321    394.25321    394.25321  0.004816849     61280979    1.0459873    1.0410365    1.0475112    1.0494142   -8.7895436    232.01814   -8.7895436    1415.7093    1406.9197 
      60          600     394.5975     394.5975     394.5975 0.0048042517     61441665    1.0424204    1.0298519    1.0393398    1.0580695   -6.9546797    228.92582   -6.9546797    1396.8409    1389.8862 
      80          800    395.50278    395.50278    395.50278 0.0047713371     61865515    1.0140388    1.0042706    1.0176528    1.0201928   -7.8858264    225.73973   -7.8858264    1377.4002    1369.5144 
     100         1000    396.57765    396.57765    396.57765  0.004732646     62371287   0.99002744   0.98290438   0.98898894     0.998189   -8.2433158    223.28841   -8.2433158     1362.443    1354.1996 
     120         1200    397.46504    397.46504    397.46504 0.0047010181     62790914   0.98040315   0.97278284   0.98094063   0.98748598   -7.7780408    222.10291   -7.7780408    1355.2094    1347.4313 
     140         1400    398.01666    398.01666    398.01666 0.0046814995     63052708   0.97633358   0.96861791   0.97797062    0.9824122   -8.2264085    222.50266   -8.2264085    1357.6485    1349.4221 
     160         1600    398.20418    398.20418    398.20418 0.0046748887     63141872   0.98266897    0.9747008   0.98701419   0.98629191   -8.6039488    224.04773   -8.6039488    1367.0761    1358.4721 
     180         1800     398.1432     398.1432     398.1432 0.0046770373     63112866    1.0010156   0.99389767    1.0104618   0.99868726   -7.5691195    225.86231   -7.5691195    1378.1482     1370.579 
     200         2000    398.07507    398.07507    398.07507 0.0046794391     63080472    1.0027842   0.99683432    1.0054196    1.0060986   -8.3976375    227.62925   -8.3976375    1388.9296    1380.5319 
