run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 56 56 56
Memory usage per processor = 3.77673 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    385.56397    385.56397    385.56397 0.0051499072     57317775    1.0185612    1.0069482    1.0363868    1.0123486   -9.2810049    208.94362   -9.2810049    1274.9151    1265.6341 
      20          200      384.672      384.672      384.672 0.0051858149     56920895    1.0217554    1.0106463    1.0338897    1.0207301    -10.05222    209.33781    -10.05222    1277.3203    1267.2681 
      40          400    384.21423    384.21423    384.21423 0.0052043726     56717927    1.0172566    1.0116695    1.0246397    1.0154605   -10.069026    207.83648   -10.069026    1268.1596    1258.0906 
      60          600    384.06043    384.06043    384.06043 0.0052106278     56649838    1.0068043    1.0077188    1.0230278   0.98966644   -9.9507995    205.27387   -9.9507995    1252.5233    1242.5725 
      80          800    384.03016    384.03016    384.03016 0.0052118598     56636448   0.99750406   0.99214605    1.0229223   0.97744377   -9.7726252    203.06092   -9.7726252    1239.0205    1229.2479 
     100         1000    383.96446    383.96446    383.96446 0.0052145357     56607384   0.99433639    1.0053979    1.0012124   0.97639893   -9.8841076    202.21632   -9.8841076     1233.867    1223.9829 
     120         1200    383.83441    383.83441    383.83441 0.0052198379     56549883   0.99852602     1.017063    1.0054027   0.97311231   -9.3580289    202.40499   -9.3580289    1235.0182    1225.6602 
     140         1400    383.66529    383.66529    383.66529 0.0052267436     56475168   0.99512932   0.99862896    1.0098492   0.97690979   -10.435016    203.38617   -10.435016    1241.0051    1230.5701 
     160         1600    383.44948    383.44948    383.44948 0.0052355735     56379922     1.009965    1.0147393    1.0220485   0.99310726   -8.8831739    204.13421   -8.8831739    1245.5694    1236.6862 
     180         1800    383.34389    383.34389    383.34389 0.0052399013     56333356    1.0094606    1.0031342    1.0248022    1.0004454   -9.4232035     205.1334   -9.4232035    1251.6662     1242.243 
     200         2000    383.38352    383.38352    383.38352 0.0052382762     56350833    1.0106646    1.0094924    1.0231185   0.99938293   -9.0670542    205.70786   -9.0670542    1255.1714    1246.1043 
     220         2200    383.60827    383.60827    383.60827 0.0052290746     56449993    1.0068373    1.0036071    1.0207947   0.99611001   -8.8919722     205.9073   -8.8919722    1256.3883    1247.4963 
     240         2400    384.03813    384.03813    384.03813 0.0052115352     56639975   0.99936579   0.99646435     1.012409   0.98922399   -8.6280521    205.66052   -8.6280521    1254.8825    1246.2545 
     260         2600    384.63633    384.63633    384.63633 0.0051872576     56905063   0.99153283   0.98843325    1.0037727   0.98239254   -8.3172315    205.09313   -8.3172315    1251.4205    1243.1033 
     280         2800    385.34321    385.34321    385.34321 0.0051587631     57219380   0.98795441   0.98136307    1.0002078   0.98229239   -7.5211346    204.38694   -7.5211346    1247.1115    1239.5904 
     300         3000    386.10053    386.10053    386.10053 0.0051284668     57557402   0.97957497   0.97303853   0.99011302   0.97557335   -7.9996668    204.26053   -7.9996668    1246.3402    1238.3405 
     320         3200    386.77905    386.77905    386.77905 0.0051015236     57861386   0.98476697   0.97998051   0.99416658   0.98015381   -7.2736093    204.76472   -7.2736093    1249.4166     1242.143 
     340         3400    387.38649    387.38649    387.38649 0.0050775629     58134430   0.98239231   0.97928786   0.99674939   0.97113969   -8.1759162    206.26891   -8.1759162    1258.5948    1250.4189 
     360         3600    387.87544    387.87544    387.87544  0.005058385     58354836    0.9824341   0.98084164   0.99280994   0.97365073   -8.9031544    207.92551   -8.9031544    1268.7029    1259.7997 
     380         3800    388.18371    388.18371    388.18371 0.0050463434     58494082   0.99198342   0.99876694   0.99928022    0.9779031   -8.6487646     208.9266   -8.6487646    1274.8112    1266.1625 
