run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 57 57 57
Memory usage per processor = 3.78152 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    397.20266    397.20266    397.20266 0.0047103402     62666647     1.043751     1.050339    1.0632253    1.0176888   -7.5527347    235.61563   -7.5527347    1437.6602    1430.1074 
      20          200    397.64433    397.64433    397.64433 0.0046946623     62875923    1.0409397    1.0387352      1.06251    1.0215738    -7.777973    236.45988    -7.777973    1442.8115    1435.0336 
      40          400     398.6045     398.6045     398.6045  0.004660818     63332493    1.0261255    1.0225449    1.0477785     1.008053   -7.5021719    234.18522   -7.5021719    1428.9322      1421.43 
      60          600     399.7869     399.7869     399.7869 0.0046195858     63897768   0.99990117    1.0000023    1.0239059   0.97579531   -7.5325633    229.82023   -7.5325633    1402.2983    1394.7657 
      80          800    400.75921    400.75921    400.75921 0.0045860437     64365114   0.97450769   0.97585205    1.0013421   0.94632887   -7.4481953    225.26506   -7.4481953    1374.5039    1367.0557 
     100         1000    401.18183    401.18183    401.18183 0.0045715655     64568958   0.96020648   0.96319686   0.97338138   0.94404119   -7.4476108    222.75816   -7.4476108    1359.2075    1351.7599 
     120         1200    400.95593    400.95593    400.95593 0.0045792968     64459946   0.96078968   0.95727854   0.97650226   0.94858823   -7.7947409    223.06908   -7.7947409    1361.1047    1353.3099 
     140         1400    400.23265    400.23265    400.23265 0.0046041682     64111737   0.97191464   0.96882436   0.99209091   0.95482864   -8.9335581    225.72706   -8.9335581    1377.3229    1368.3893 
     160         1600     399.3017     399.3017     399.3017 0.0046364464     63665403   0.99389684   0.99138497    1.0146945   0.97561102   -9.7087964    229.13836   -9.7087964    1398.1377    1388.4289 
     180         1800    398.52456    398.52456    398.52456 0.0046636231     63294400    1.0254125    1.0136472    1.0437593    1.0188308   -7.8698936    231.04855   -7.8698936    1409.7931    1401.9232 
     200         2000    398.21258    398.21258    398.21258 0.0046745928     63145869    1.0233333    1.0215289    1.0449801     1.003491   -9.4004172    231.75127   -9.4004172    1414.0809    1404.6805 
     220         2200    398.31155    398.31155    398.31155 0.0046711092     63192962     1.022468    1.0279921    1.0393286    1.0000834   -7.9177727    230.83566   -7.9177727    1408.4941    1400.5764 
     240         2400     398.6852     398.6852     398.6852 0.0046579884     63370966    1.0012154     1.001659    1.0215612   0.98042592   -8.6290569    229.64298   -8.6290569    1401.2167    1392.5877 
     260         2600    399.04398    399.04398    399.04398 0.0046454355     63542207   0.98976062   0.98862665    1.0132643   0.96739087   -7.9512091    228.15231   -7.9512091    1392.1211    1384.1699 
     280         2800    399.22364    399.22364    399.22364 0.0046391668     63628069   0.98623288   0.98376774    1.0090445   0.96588643   -7.3783053    227.10691   -7.3783053    1385.7424    1378.3641 
     300         3000    399.19897    399.19897    399.19897 0.0046400268     63616276   0.99180223   0.98599889    1.0116411   0.97776668   -6.2392809    226.71661   -6.2392809    1383.3609    1377.1216 
     320         3200     399.0314     399.0314     399.0314 0.0046458749     63536197   0.98993479   0.98883881    1.0161669   0.96479864   -7.3947902    227.58891   -7.3947902    1388.6834    1381.2886 
     340         3400    398.74781    398.74781    398.74781 0.0046557945     63400827    1.0094253    1.0140458    1.0321575   0.98207251   -5.6172628    228.89692   -5.6172628    1396.6645    1391.0472 
     360         3600    398.56293    398.56293    398.56293 0.0046622766     63312680    1.0111905    1.0155874    1.0290563   0.98892792   -7.3662512    231.38007   -7.3662512     1411.816    1404.4497 
     380         3800     398.5792     398.5792     398.5792 0.0046617055     63320436    1.0221568    1.0290138    1.0442555   0.99320105   -7.2032152    233.48339   -7.2032152    1424.6498    1417.4466 
     400         4000    398.97832    398.97832    398.97832 0.0046477294     63510846    1.0276943    1.0350423    1.0535171   0.99452329   -6.9599991    234.45342   -6.9599991    1430.5687    1423.6087 
     420         4200    399.98418    399.98418    399.98418 0.0046127537     63992409     1.021735     1.033213    1.0306163    1.0013758   -5.5787335    233.16241   -5.5787335    1422.6913    1417.1126 
     440         4400    401.63862    401.63862    401.63862 0.0045559854     64789765    0.9862569   0.99624491    1.0014452   0.96108059   -6.6216278    229.88333   -6.6216278    1402.6833    1396.0616 
     460         4600    403.49871    403.49871    403.49871 0.0044932674     65694114   0.94692674   0.95229101   0.96271875   0.92577047   -7.2504698    225.17702   -7.2504698    1373.9667    1366.7162 
     480         4800    404.81844    404.81844    404.81844 0.0044494658     66340823   0.92385017   0.93169264   0.93929042   0.90056744   -7.1026919    221.42974   -7.1026919    1351.1019    1343.9992 
     500         5000    405.02227    405.02227    405.02227 0.0044427513     66441086   0.92308403   0.93142812   0.93822904   0.89959493   -7.2540157     220.9108   -7.2540157    1347.9354    1340.6814 
     520         5200    403.88551    403.88551    403.88551 0.0044803703     65883221   0.94654396   0.96035742   0.95641982   0.92285466   -8.1812062    224.75036   -8.1812062    1371.3634    1363.1822 
     540         5400     401.6384     401.6384     401.6384 0.0045559931     64789656   0.99812008    1.0079456    1.0085363   0.97787834   -8.3852445    231.85966   -8.3852445    1414.7423     1406.357 
