run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 54 54 54
Memory usage per processor = 3.75313 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    371.22964    371.22964    371.22964 0.0057698006     51159692   0.96309978   0.95631221   0.94909991   0.98388721    -15.27968    178.84205    -15.27968    1091.2438    1075.9641 
      20          200    370.63557    370.63557    370.63557 0.0057975891     50914479   0.95439898   0.96205216   0.93531005   0.96583472   -14.454065    174.89382   -14.454065    1067.1528    1052.6987 
      40          400    369.32755    369.32755    369.32755 0.0058594061     50377328   0.96155321    0.9582524   0.95026131   0.97614593   -14.165877    174.28863   -14.165877    1063.4601    1049.2942 
      60          600    367.42108    367.42108    367.42108 0.0059510901     49601202   0.98019912   0.96415156   0.97352426    1.0029216   -14.712453    176.41832   -14.712453    1076.4549    1061.7424 
      80          800    365.44759    365.44759    365.44759  0.006048023     48806234    1.0089525   0.99673721   0.99747903    1.0326414   -14.926721    179.53771   -14.926721    1095.4885    1080.5618 
     100         1000    364.04917    364.04917    364.04917 0.0061179878     48248090    1.0411192     1.051564    1.0200977    1.0516958   -13.879412    181.95793   -13.879412     1110.256    1096.3766 
     120         1200    363.50779    363.50779    363.50779 0.0061453634     48033160    1.0412535    1.0297817    1.0332311    1.0607478   -15.284492    183.30445   -15.284492    1118.4721    1103.1876 
     140         1400    363.62381    363.62381    363.62381 0.0061394827     48079169    1.0390433    1.0229215    1.0351392    1.0590692   -15.424115    182.74883   -15.424115    1115.0819    1099.6577 
     160         1600    364.18057    364.18057    364.18057 0.0061113679     48300353    1.0350264    1.0143549    1.0263917    1.0643327   -14.625537    180.34166   -14.625537     1100.394    1085.7684 
     180         1800    365.03004    365.03004    365.03004 0.0060688012     48639132    1.0064514   0.98346893    1.0001597    1.0357256   -14.923279    176.53267   -14.923279    1077.1526    1062.2293 
     200         2000    365.78976    365.78976    365.78976 0.0060310661     48943457   0.96892143    0.9531846   0.96168581   0.99189387   -16.046609    172.80155   -16.046609    1054.3864    1038.3398 
     220         2200    366.06793    366.06793    366.06793 0.0060173278     49055201    0.9682728   0.96496521   0.95296027   0.98689293   -14.633189    170.87432   -14.633189    1042.6269    1027.9938 
     240         2400    365.88496    365.88496    365.88496 0.0060263597     48981680   0.97576599   0.97974371   0.96430958   0.98324469   -14.914651    172.41549   -14.914651    1052.0307    1037.1161 
     260         2600    365.39676    365.39676    365.39676 0.0060505473     48785871   0.99747782    0.9918958   0.98763516    1.0129025   -16.051769    177.56495   -16.051769    1083.4513    1067.3995 
     280         2800    364.91033    364.91033    364.91033  0.006074776     48591294    1.0266495    1.0179426    1.0142774    1.0477284   -15.954982    181.77051   -15.954982    1109.1124    1093.1574 
     300         3000    364.78806    364.78806    364.78806 0.0060808862     48542468    1.0377805    1.0335432    1.0149056    1.0648927   -15.615157     182.8177   -15.615157    1115.5021    1099.8869 
     320         3200    365.18992    365.18992    365.18992 0.0060608338     48703072    1.0303927    1.0205237    1.0152838    1.0553707   -15.563249    182.21983   -15.563249    1111.8541    1096.2908 
     340         3400    366.05726    366.05726    366.05726 0.0060178541     49050911    1.0124621    1.0030109   0.99221054    1.0421648   -15.321725    180.50254   -15.321725    1101.3756    1086.0539 
     360         3600    367.16122    367.16122    367.16122 0.0059637346     49496037   0.99045905    0.9838693   0.97727698    1.0102309   -15.207323    178.41943   -15.207323    1088.6651    1073.4577 
     380         3800    368.20306    368.20306    368.20306 0.0059132543     49918575   0.97632765   0.96979309   0.96186595   0.99732392   -14.495258    176.72749   -14.495258    1078.3413    1063.8461 
     400         4000    368.95665    368.95665    368.95665 0.0058770949     50225703   0.96848965   0.95759245    0.9477822    1.0000943   -14.056114    176.34915   -14.056114    1076.0328    1061.9767 
     420         4200     369.2815     369.2815     369.2815 0.0058615986     50358485   0.97127684   0.96247282   0.95046151    1.0008962   -14.418159    177.86996   -14.418159    1085.3124    1070.8942 
     440         4400    369.22753    369.22753    369.22753 0.0058641692     50336409    0.9951594   0.98703948   0.96769325    1.0307455   -13.671834    180.64691   -13.671834    1102.2565    1088.5847 
     460         4600    369.06151    369.06151    369.06151 0.0058720867     50268540    1.0123481    1.0021873   0.99624479    1.0386121   -13.987907    183.45188   -13.987907    1119.3717    1105.3838 
     480         4800    369.04319    369.04319    369.04319 0.0058729614     50261053    1.0205457    1.0226032   0.99529008    1.0437438   -13.718609    184.61376   -13.718609    1126.4611    1112.7425 
     500         5000     369.4426     369.4426     369.4426 0.0058539338     50424421    1.0002333   0.99820563   0.97975255    1.0227417   -14.858628    184.06511   -14.858628    1123.1134    1108.2548 
     520         5200    370.34739    370.34739    370.34739 0.0058111338     50795806   0.98404893   0.98330688   0.96573319    1.0031067   -14.046655     181.4881   -14.046655    1107.3893    1093.3426 
     540         5400    371.62769    371.62769    371.62769 0.0057512804     51324436   0.96388285   0.96738571   0.94981131   0.97445155   -13.524098    178.15342   -13.524098     1087.042    1073.5179 
     560         5600    372.78426    372.78426    372.78426 0.0056979158     51805122   0.94400066   0.92985312   0.93129965   0.97084921   -13.381082    175.61731   -13.381082    1071.5673    1058.1863 
     580         5800    373.25627    373.25627    373.25627 0.0056763268     52002155   0.92828237   0.92153408   0.91576122    0.9475518    -14.65419    175.27486    -14.65419    1069.4778    1054.8236 
     600         6000    372.68163    372.68163    372.68163 0.0057026243     51762348   0.95183756   0.95494141   0.92854425   0.97202701   -13.775926    177.40834   -13.775926    1082.4957    1068.7198 
     620         6200    371.26785    371.26785    371.26785 0.0057680191     51175494    1.0004358   0.99729735   0.98314104     1.020869    -13.34762    183.88175    -13.34762    1121.9946     1108.647 
     640         6400    369.72167    369.72167    369.72167 0.0058406881     50538776    1.0320102    1.0246009    1.0153847    1.0560449   -14.929512    190.32525   -14.929512     1161.311    1146.3815 
     660         6600    368.62302    368.62302    368.62302 0.0058930667     50089578    1.0492626    1.0466891    1.0285885    1.0725102   -14.413918    191.18251   -14.413918    1166.5418    1152.1279 
     680         6800    368.23576    368.23576    368.23576  0.005911679     49931876    1.0411095    1.0292012    1.0285993     1.065528    -14.07291     188.6506    -14.07291    1151.0928    1137.0199 
     700         7000    368.43576    368.43576    368.43576 0.0059020569     50013280     1.010255    1.0016611    0.9950923    1.0340116   -14.875511    184.81733   -14.875511    1127.7033    1112.8278 
     720         7200    368.83054    368.83054    368.83054 0.0058831255     50174218   0.98774981   0.98529902   0.97072102    1.0072294   -14.949689    181.22019   -14.949689    1105.7545    1090.8048 
     740         7400    369.09411    369.09411    369.09411 0.0058705312     50281860   0.97258528   0.96007297   0.95765972    1.0000232   -15.583977    178.73627   -15.583977    1090.5984    1075.0144 
     760         7600    369.00254    369.00254    369.00254 0.0058749025     50244446   0.97459186   0.95480793   0.94790887    1.0210588   -15.284566    177.32493   -15.284566    1081.9867    1066.7022 
     780         7800     368.4478     368.4478     368.4478 0.0059014787     50018180   0.97200052    0.9627115   0.95288066    1.0004094    -17.65697    177.66646    -17.65697    1084.0707    1066.4137 
     800         8000    367.33096    367.33096    367.33096  0.005955471     49564715    1.0056156    0.9902069   0.97922461    1.0474153   -16.991275    178.76968   -16.991275    1090.8022    1073.8109 
