run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 56 56 56
Memory usage per processor = 3.77661 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    390.80467    390.80467    390.80467 0.0049454919     59686929    1.0238777    1.0389672    1.0707675   0.96189861   -5.9436641    219.98608   -5.9436641     1342.293    1336.3494 
      20          200    391.17051    391.17051    391.17051 0.0049316291     59854709     1.011958    1.0253275    1.0650796   0.94546686   -7.0225692    218.98792   -7.0225692    1336.2026      1329.18 
      40          400    391.64261    391.64261    391.64261 0.0049138164     60071684    1.0095632    1.0183254    1.0727685   0.93759566   -6.6448829    217.95501   -6.6448829    1329.9001    1323.2552 
      60          600    392.17181    392.17181    392.17181  0.004893951     60315525     1.000148    1.0137034    1.0551381   0.93160245   -7.8040384    217.72386   -7.8040384    1328.4896    1320.6856 
      80          800      392.663      392.663      392.663  0.004875608     60542444    0.9965634    1.0094766    1.0501042   0.93010942   -9.2250946    218.67078   -9.2250946    1334.2675    1325.0424 
     100         1000    393.11901    393.11901    393.11901  0.004858661     60753617    1.0169622    1.0285241    1.0782791   0.94408328    -8.811343    221.39897    -8.811343    1350.9141    1342.1028 
     120         1200    393.81173    393.81173    393.81173 0.0048330666     61075348    1.0339466    1.0615623    1.0853573    0.9549204   -9.4885396     225.5511   -9.4885396    1376.2493    1366.7607 
     140         1400    394.95949    394.95949    394.95949 0.0047910541     61610914     1.024176    1.0352823    1.0863466   0.95089911   -12.100067    227.70738   -12.100067    1389.4062    1377.3062 
     160         1600    396.45153    396.45153    396.45153 0.0047371642     62311799    1.0204158    1.0185506     1.095519   0.94717786   -10.374597    225.99266   -10.374597    1378.9435    1368.5689 
     180         1800     398.0834     398.0834     398.0834 0.0046791453     63084432   0.98067622   0.98847761    1.0380473   0.91550375     -12.0005     222.7685     -12.0005    1359.2706    1347.2701 
     200         2000    399.23649    399.23649    399.23649 0.0046387188     63634213   0.95077176   0.95789251    1.0060651   0.88835772   -11.512898     218.9662   -11.512898    1336.0701    1324.5572 
     220         2200    399.47707    399.47707    399.47707 0.0046303429     63749322   0.94188907   0.94765797     1.000284   0.87772523   -10.149774    216.40309   -10.149774    1320.4306    1310.2809 
     240         2400    398.81085    398.81085    398.81085 0.0046535871     63430902   0.94581297   0.96051636   0.99180591   0.88511665   -9.6455973    216.06535   -9.6455973    1318.3698    1308.7242 
     260         2600    397.48366    397.48366    397.48366 0.0047003574     62799741   0.96210903   0.97522044    1.0157012   0.89540539   -9.4427033    217.67856   -9.4427033    1328.2132    1318.7705 
     280         2800    395.96467    395.96467    395.96467 0.0047546596     62082514   0.99115549    1.0162668    1.0430509   0.91414874   -8.2609004     220.6197   -8.2609004    1346.1592    1337.8983 
     300         3000    394.76914    394.76914    394.76914  0.004797988     61521877    1.0186617    1.0384147    1.0752078   0.94236241   -8.5655947    225.66945   -8.5655947    1376.9714    1368.4058 
     320         3200    394.20774    394.20774    394.20774 0.0048185156     61259783    1.0454402    1.0645049    1.0976803   0.97413541   -8.5984402    230.86952   -8.5984402    1408.7008    1400.1023 
     340         3400    394.41118    394.41118    394.41118 0.0048110633     61354675    1.0497254    1.0663993     1.101082   0.98169501   -8.3137325    232.09342   -8.3137325    1416.1687    1407.8549 
     360         3600    395.22828    395.22828    395.22828 0.0047812858     61736788     1.027568    1.0444216    1.0809503   0.95733207   -7.8485896    228.57068   -7.8485896    1394.6739    1386.8253 
     380         3800    396.25515    396.25515    396.25515 0.0047442107     62219248   0.98808106    1.0034269     1.038689   0.92212727   -8.0601868    222.54792   -8.0601868    1357.9247    1349.8645 
     400         4000    396.96963    396.96963    396.96963 0.0047186405     62556413    0.9612386   0.97795506    1.0097843   0.89597644   -8.2052583    218.24476   -8.2052583     1331.668    1323.4628 
     420         4200    397.04252    397.04252    397.04252 0.0047160422     62590878   0.95438217   0.97297403    1.0011822   0.88899032   -8.6888891     216.7856   -8.6888891    1322.7646    1314.0757 
