run 10000
All restart file global fix info was re-assigned
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7 -> bins = 54 54 54
Memory usage per processor = 3.75298 Mbytes
Step Time Lx Ly Lz Density Volume Press Pxx Pyy Pzz PotEng Temp PotEng KinEng TotEng 
       0            0    373.75293    373.75293    373.75293  0.005653728     52210015    1.0022309    1.0293084    1.0153725   0.96201188   -13.145657    190.49514   -13.145657    1162.3476     1149.202 
      20          200    373.23155    373.23155    373.23155 0.0056774546     51991825    1.0372839    1.0658386     1.061657   0.98435618   -12.140464     193.1348   -12.140464    1178.4541    1166.3137 
      40          400    373.20645    373.20645    373.20645 0.0056786003     51981335    1.0488747     1.081892    1.0687858   0.99594617   -13.602623    195.71241   -13.602623     1194.182    1180.5793 
      60          600    373.91904    373.91904    373.91904 0.0056461964     52279660    1.0470337    1.0798308    1.0672724   0.99399802   -13.468485    196.06307   -13.468485    1196.3216    1182.8531 
      80          800    375.33368    375.33368    375.33368 0.0055825948     52875273    1.0209219     1.048727    1.0381842   0.97585457    -13.76637     194.2016    -13.76637    1184.9634    1171.1971 
     100         1000    377.02237    377.02237    377.02237 0.0055079167     53592173   0.98715185      1.01167   0.99845976    0.9513258    -13.84664    190.76056    -13.84664    1163.9672    1150.1205 
     120         1200    378.41028    378.41028    378.41028 0.0054475341     54186210   0.95255701    0.9872436   0.96481249   0.90561494   -14.465572    187.36407   -14.465572    1143.2427    1128.7772 
     140         1400    379.04934    379.04934    379.04934 0.0054200276     54461203   0.94467946   0.98269742   0.95222151   0.89911945   -12.840433    185.12297   -12.840433    1129.5682    1116.7278 
     160         1600    378.79919    378.79919    378.79919 0.0054307724     54353451   0.93743573   0.96604607   0.95277875   0.89348238   -14.400026    185.87442   -14.400026    1134.1533    1119.7533 
     180         1800    377.65375    377.65375    377.65375 0.0054803377     53861868   0.96891031   0.99942623   0.98715862   0.92014607   -13.845737    189.33503   -13.845737     1155.269    1141.4233 
     200         2000    376.09749    376.09749    376.09749 0.0055486511     53198736    1.0138649    1.0491296    1.0259283    0.9665368   -13.683717    194.95497   -13.683717    1189.5603    1175.8766 
     220         2200    374.82485    374.82485    374.82485  0.005605361     52660520    1.0439127    1.0722683    1.0503445    1.0091255   -14.011154    198.98083   -14.011154    1214.1249    1200.1138 
     240         2400    374.25348    374.25348    374.25348 0.0056310736     52420061    1.0465404    1.0785776    1.0508658    1.0101776   -14.524219    199.41568   -14.524219    1216.7783    1202.2541 
     260         2600    374.38068    374.38068    374.38068 0.0056253358     52473530    1.0366151    1.0736279    1.0433669   0.99285059   -13.944806    196.70602   -13.944806    1200.2447    1186.2999 
     280         2800    375.05181    375.05181    375.05181 0.0055951911     52756236    1.0182795    1.0643395    1.0215735   0.96892552   -12.939422    193.00672   -12.939422    1177.6726    1164.7332 
     300         3000    375.98549    375.98549    375.98549 0.0055536112     53151223   0.98560947    1.0174261   0.98927193   0.95013036   -14.134765      190.497   -14.134765     1162.359    1148.2242 
     320         3200    376.76792    376.76792    376.76792 0.0055190834     53483740   0.97839743    1.0080831   0.98949665   0.93761255   -12.681832    188.69799   -12.681832     1151.382    1138.7001 
     340         3400    377.25642    377.25642    377.25642  0.005497672     53692040   0.96842193    1.0000247    0.9819191   0.92332202   -12.507053    188.25378   -12.507053    1148.6715    1136.1644 
     360         3600    377.30878    377.30878    377.30878 0.0054953832     53714402   0.96487645   0.99410958    0.9743052   0.92621458   -12.733186     189.1349   -12.733186    1154.0478    1141.3147 
     380         3800    376.83577    376.83577    376.83577 0.0055161031     53512637   0.98466407     1.015065   0.98906919   0.94985799   -11.730087    190.97221   -11.730087    1165.2586    1153.5285 
     400         4000    376.03943    376.03943    376.03943 0.0055512216     53174102    1.0074911    1.0425119    1.0123474   0.96761405   -11.360728     193.4375   -11.360728    1180.3011    1168.9404 
     420         4200    375.19597    375.19597    375.19597 0.0055887441     52817094    1.0236647    1.0550985     1.037373   0.97852257   -11.595733    195.53276   -11.595733    1193.0858    1181.4901 
     440         4400    374.53048    374.53048    374.53048 0.0056185885     52536544    1.0306111    1.0656273    1.0397982   0.98640796   -11.787328      196.151   -11.787328    1196.8581    1185.0708 
     460         4600    374.16189    374.16189    374.16189 0.0056352096     52381588    1.0191514     1.050164    1.0305934   0.97669672   -12.729839    194.28162   -12.729839    1185.4517    1172.7219 
     480         4800    373.99757    373.99757    373.99757 0.0056426408     52312603    1.0129902    1.0607381    1.0112164   0.96701601   -11.147077    189.34324   -11.147077    1155.3191     1144.172 
     500         5000    373.96078    373.96078    373.96078 0.0056443061     52297168   0.99383683    1.0247543   0.99085203   0.96590413    -11.79061    186.11643    -11.79061      1135.63    1123.8394 
     520         5200    373.82763    373.82763    373.82763 0.0056503396     52241324   0.98060653    1.0109198   0.98356372   0.94733608   -12.989011    185.75856   -12.989011    1133.4464    1120.4574 
     540         5400     373.3572     373.3572     373.3572 0.0056717247     52044350   0.99477436    1.0190877    1.0054265   0.95980893   -12.097466    186.97383   -12.097466    1140.8616    1128.7642 
     560         5600    372.64259    372.64259    372.64259 0.0057044172     51746080    1.0099548    1.0399746    1.0186745   0.97121518   -12.507418    189.53803   -12.507418    1156.5077    1144.0002 
     580         5800    371.93731    371.93731    371.93731 0.0057369293     51452826    1.0263663    1.0594541    1.0315702   0.98807459   -13.194456    192.26159   -13.194456    1173.1261    1159.9316 
     600         6000    371.53696    371.53696    371.53696 0.0057554949     51286854    1.0457475    1.0810038    1.0523704    1.0038682     -13.2016     193.9306     -13.2016    1183.3099    1170.1083 
     620         6200    371.77391    371.77391    371.77391  0.005744497     51385042    1.0513343    1.0819696    1.0576746    1.0143587   -13.332557    193.97557   -13.332557    1183.5843    1170.2517 
     640         6400    372.82246    372.82246    372.82246 0.0056961647     51821048    1.0331734    1.0594645    1.0494773   0.99057842   -13.738951    192.27795   -13.738951    1173.2259    1159.4869 
     660         6600    374.46875    374.46875    374.46875 0.0056213677     52510570   0.99732941    1.0366299    1.0050169    0.9503414   -14.268211    189.34549   -14.268211    1155.3328    1141.0646 
     680         6800    376.13259    376.13259    376.13259  0.005547098     53213631   0.96463868     1.004708   0.97072184   0.91848623   -13.776732    186.03731   -13.776732    1135.1472    1121.3705 
     700         7000    377.22648    377.22648    377.22648  0.005498981     53679259   0.94527936   0.98751096   0.95068579   0.89764134   -12.787889    183.67922   -12.787889    1120.7588     1107.971 
     720         7200    377.46317    377.46317    377.46317 0.0054886431     53780364   0.94084349   0.98029562   0.95296764   0.88926723   -12.841147    184.18721   -12.841147    1123.8585    1111.0173 
     740         7400    376.84982    376.84982    376.84982 0.0055154862     53518623   0.96667453    1.0075561   0.97964584    0.9128217   -12.739773    188.42378   -12.739773    1149.7088     1136.969 
     760         7600    375.78184    375.78184    375.78184 0.0055626454     53064900    1.0076243    1.0468772    1.0222056   0.95379018   -12.295294    193.61069   -12.295294    1181.3579    1169.0626 
     780         7800    374.86444    374.86444    374.86444 0.0056035855     52677205    1.0351452     1.067378    1.0626961   0.97536156   -11.743449    196.60521   -11.743449    1199.6296    1187.8862 
     800         8000    374.45807    374.45807    374.45807 0.0056218486     52506079    1.0318891    1.0696417    1.0475685   0.97845712   -12.685208    197.17901   -12.685208    1203.1307    1190.4455 
     820         8200    374.52363    374.52363    374.52363 0.0056188967     52533663    1.0209918     1.059195    1.0319955   0.97178497   -12.614373    195.15535   -12.614373    1190.7829    1178.1686 
     840         8400    374.91186    374.91186    374.91186 0.0056014593     52697200    1.0049431    1.0496744    1.0104614    0.9546936   -12.229669    191.63839   -12.229669    1169.3234    1157.0937 
     860         8600    375.41996    375.41996    375.41996 0.0055787468     52911744   0.98893977    1.0305341   0.98749741   0.94878778   -11.915451    188.49241   -11.915451    1150.1276    1138.2121 
     880         8800    375.84949    375.84949    375.84949 0.0055596422     53093565   0.97642526    1.0080444   0.98175278   0.93947862   -11.671252    186.81275   -11.671252    1139.8788    1128.2075 
     900         9000    376.00497    376.00497    376.00497 0.0055527481     53159485   0.96820052    1.0026066   0.97732731   0.92466762   -11.986096    186.90776   -11.986096    1140.4584    1128.4724 
     920         9200    375.68884    375.68884    375.68884 0.0055667772     53025514   0.97988373    1.0159174   0.98750537   0.93622845    -11.35366    188.52333    -11.35366    1150.3163    1138.9626 
     940         9400     374.8502     374.8502     374.8502 0.0056042242     52671202    1.0038045    1.0357551    1.0132738   0.96238446   -10.753748    191.42643   -10.753748    1168.0301    1157.2764 
     960         9600    373.62097    373.62097    373.62097 0.0056597206     52154734    1.0260151    1.0646943    1.0356009   0.97775014   -11.336728    194.71689   -11.336728    1188.1076    1176.7708 
     980         9800    372.32855    372.32855    372.32855 0.0057188631     51615368    1.0497993    1.0903818    1.0574422     1.001574   -11.390826    196.74669   -11.390826    1200.4929     1189.102 
    1000        10000    371.45992    371.45992    371.45992 0.0057590767     51254956     1.067548    1.1153199    1.0646645    1.0226597   -10.233823    196.27104   -10.233823    1197.5906    1187.3568 
    1020        10200    371.39801    371.39801    371.39801  0.005761957     51229334    1.0470214     1.088835    1.0502437    1.0019856   -10.553721    193.07767   -10.553721    1178.1055    1167.5518 
    1040        10400    372.05865    372.05865    372.05865 0.0057313181     51503200    1.0058704    1.0392868    1.0145773   0.96374696   -11.085146    188.44264   -11.085146    1149.8239    1138.7387 
    1060        10600    372.99394    372.99394    372.99394 0.0056883121     51892586   0.98261621    1.0138675    0.9937437   0.94023744   -10.790979    185.82092   -10.790979    1133.8269    1123.0359 
    1080        10800    373.84782    373.84782    373.84782 0.0056494241     52249791   0.97816011    1.0082773   0.98713322   0.93906977   -10.202783    185.33038   -10.202783    1130.8337     1120.631 
    1100        11000    374.49834    374.49834    374.49834 0.0056200351     52523021   0.97800353    1.0092107   0.98517598   0.93962391   -10.355768    186.29309   -10.355768    1136.7079    1126.3522 
    1120        11200    374.92525    374.92525    374.92525 0.0056008591     52702848   0.98659933    1.0158839   0.99971646   0.94419769    -10.22428    188.36092    -10.22428    1149.3252     1139.101 
    1140        11400    375.21303    375.21303    375.21303 0.0055879818     52824299   0.99720001    1.0275218    1.0158981   0.94818015   -10.409577    190.92788   -10.409577    1164.9881    1154.5786 
    1160        11600    375.52218    375.52218    375.52218 0.0055741925     52954975    1.0096549    1.0516836      1.02107    0.9562112   -9.6720101     192.8309   -9.6720101    1176.5998    1166.9278 
    1180        11800    376.02749    376.02749    376.02749 0.0055517506     53169035    1.0029353     1.036071    1.0167601    0.9559747   -10.630695     193.9301   -10.630695    1183.3068    1172.6761 
    1200        12000    376.71083    376.71083    376.71083 0.0055215932     53459430   0.99708412    1.0277355    1.0139755   0.94954139   -10.760096    193.73813   -10.760096    1182.1354    1171.3754 
    1220        12200    377.51681    377.51681    377.51681 0.0054863037     53803296    0.9942993    1.0158217    1.0278309   0.93924527   -9.8982672    192.38639   -9.8982672    1173.8875    1163.9893 
    1240        12400     378.3823     378.3823     378.3823 0.0054487427     54174191   0.97598976   0.99991795    1.0015526    0.9264987   -10.530275    190.62073   -10.530275     1163.114    1152.5837 
    1260        12600    379.03452    379.03452    379.03452 0.0054206633     54454816   0.95909101   0.98708705   0.97570151   0.91448448   -10.899233    188.80186   -10.899233    1152.0157    1141.1165 
    1280        12800    379.13922    379.13922    379.13922 0.0054161739     54499954   0.95078465   0.97677979   0.96691822   0.90865593   -11.579598     187.7764   -11.579598    1145.7587    1134.1791 
    1300        13000    378.46956    378.46956    378.46956 0.0054449747     54211679   0.96346739   0.98626357   0.97759688   0.92654171   -11.636969    188.01351   -11.636969    1147.2054    1135.5685 
    1320        13200    377.11596    377.11596    377.11596 0.0055038173     53632090    0.9902989    1.0120516    1.0050424   0.95380274    -11.37825    189.81096    -11.37825     1158.173    1146.7947 
    1340        13400    375.49268    375.49268    375.49268 0.0055755062     52942498    1.0164331    1.0307973    1.0442557   0.97424643   -11.642933    192.85178   -11.642933    1176.7272    1165.0843 
    1360        13600    374.11613    374.11613    374.11613 0.0056372775     52362372     1.034054    1.0568848     1.059503   0.98577411   -11.864109    195.72206   -11.864109    1194.2408    1182.3767 
    1380        13800    373.28687    373.28687    373.28687  0.005674931     52014945    1.0391122    1.0688365    1.0558706    0.9926294   -11.758055    196.81636   -11.758055     1200.918    1189.1599 
    1400        14000    373.03717    373.03717    373.03717 0.0056863345     51910634    1.0374877    1.0684088    1.0553299   0.98872429   -10.634194    195.07549   -10.634194    1190.2957    1179.6615 
    1420        14200    373.31756    373.31756    373.31756 0.0056735316     52027775    1.0149748    1.0448277    1.0327033   0.96739347    -10.35261    191.20329    -10.35261    1166.6686     1156.316 
    1440        14400    373.84135    373.84135    373.84135 0.0056497171     52247080   0.98809707    1.0169088    1.0060765   0.94130593   -10.753061    187.63988   -10.753061    1144.9257    1134.1726 
    1460        14600    374.25235    374.25235    374.25235 0.0056311245     52419587   0.97783722    1.0022959    1.0000091   0.93120665   -10.995248    185.95437   -10.995248    1134.6411    1123.6459 
    1480        14800    374.39673    374.39673    374.39673 0.0056246122     52480280   0.99898816    1.0329173     1.006692   0.95735514   -8.5458256    185.78362   -8.5458256    1133.5993    1125.0535 
    1500        15000    374.43814    374.43814    374.43814 0.0056227464     52497695   0.99458471    1.0155925    1.0114165   0.95674517   -10.720646    187.88155   -10.720646    1146.4002    1135.6796 
    1520        15200    374.41669    374.41669    374.41669 0.0056237129     52488672   0.99916201    1.0232796    1.0167475   0.95745891   -11.215466    190.47289   -11.215466    1162.2119    1150.9964 
    1540        15400    374.39059    374.39059    374.39059 0.0056248889     52477699    1.0080413    1.0335639    1.0220479   0.96851227   -10.985357    192.54005   -10.985357    1174.8251    1163.8398 
    1560        15600    374.48738    374.48738    374.48738 0.0056205287     52518409    1.0123778    1.0424727    1.0216267   0.97303393   -10.904249    193.43422   -10.904249    1180.2811    1169.3768 
    1580        15800    374.81725    374.81725    374.81725 0.0056057019     52657317    1.0143255    1.0543047     1.020275    0.9683968   -10.054779    192.99729   -10.054779     1177.615    1167.5603 
    1600        16000    375.42039    375.42039    375.42039 0.0055787278     52911925   0.99883012    1.0316107    1.0102903   0.95458943   -10.742718    192.01469   -10.742718    1171.6195    1160.8768 
